GT,Top1,Top2,Top3,Top4,Top5
IL2VL,I2L,NSML,IL2VL,I1L,MCL
M3R,M3R,NSMR,IL2VR,I2R,IL1VR
M3L,M3L,IL1VL,IL2VL,NSML,I2L
I3,IL2DL,I3,IL2DR,MI,M4
MI,I3,MI,I1L,MCL,M4
M4,M4,IL1DL,URADL,IL1DR,URADR
IL2DR,I1R,I1L,MI,MCR,I3
IL2DL,MI,IL2DL,I3,I1L,MCL
IL2L,IL2L,IL1L,OLLL,I2L,IL2DL
IL2R,IL2R,I2R,NSMR,IL2DR,IL1R
URADL,URADL,IL1DL,M4,URYDL,IL2DL
URADR,URADR,IL1DR,IL1DL,M4,URYDR
RMED,RMED,OLQDR,URYDR,RID,RMER
OLQDR,OLQDR,URYDR,IL1DR,RMED,OLQDL
OLQDL,OLQDL,IL1DL,URYDL,OLQDR,IL1DR
URYDL,URYDL,IL1DL,OLLL,IL1DR,URYDR
RMER,URYDR,RMER,OLLR,IL1DR,URBR
RMEL,RMEL,RIPL,URYDL,BAGL,RMDVL
OLLL,OLLL,URYDL,IL1DL,URBL,RIPL
OLLR,OLLR,URYDR,IL1DR,URBR,URADR
URBR,URBR,IL1R,IL2R,OLLR,URADR
URBL,URBL,OLLL,URYDL,RIPL,IL1L
IL1L,IL1L,BAGL,RIPL,URYVL,URBL
URAVR,IL1R,URBR,URYVR,URAVR,IL2R
URAVL,URAVL,RMEV,URAVR,IL1VL,CEPVR
URYVL,URYVL,BAGL,RMEL,URAVL,RIPL
URYVR,URYVR,RMER,URAVR,BAGR,IL1R
OLQVR,OLQVR,RMER,BAGR,CEPVR,URBR
OLQVL,OLQVL,BAGL,RMDVL,CEPVL,URYVL
CEPVL,CEPVL,CEPVR,RMDL,BAGL,RMEV
CEPVR,CEPVR,RMDR,RMDDR,RMEV,AVER
ALA,ALA,RIVR,AVHR,CEPDR,ASKR
RID,RID,ALA,CEPDR,URXR,URXL
CEPDL,CEPDL,SMDVL,RIAL,SAAVL,URXL
CEPDR,CEPDR,SMDVR,RIAR,URXR,ASKR
URXR,URXR,URXL,SMDVR,RID,CEPDR
URXL,URXL,URXR,SMDVL,ASKL,RIAL
SMDVL,RMDVL,SMDVL,SAAVL,RIAL,AVEL
SMDVR,SMDVR,RIAR,SAAVR,RMDVR,AVAR
ADLL,ASIL,ADLL,RIVL,ASGL,I6
AWBR,AWBR,ASGR,RIVR,ASER,AVJR
AWAL,AWAL,ASGL,AWBL,AWCL,AFDL
AVAL,AVAL,AWBL,RMDL,AVEL,AFDL
AVAR,AWCR,RMDR,RMDVR,AFDR,AVAR
AVER,RMDR,AVER,AIBR,RIAR,ASHR
ASHL,ASHL,AWCL,ASEL,ASGL,RIBL
AVJL,AVJL,RIVL,AVDL,I6,AINL
AVJR,RIVR,AVJR,RICR,AVHR,AVDR
AIZL,AIZL,AUAL,RIML,VB2,AVDL
RICL,RICL,AIZL,ADAL,AVJL,ASEL
RICR,RICR,AIZR,FLPR,ADAR,ADER
ADEL,ADEL,ADAL,VB1,VA1,VB2
M1,M1,VD2,VD1,ADAR,AVKL
AIBL,SMDDL,AIBL,RMDL,RMDDL,AWCL
FLPL,FLPL,AINL,AVDL,ADAL,ADEL
