GT,Top1,Top2,Top3,Top4,Top5
,I1R,I2R,NSMR,I1L,MCR
,I3,MI,IL2DL,IL2DR,I1L
,M3L,I2L,NSML,IL2L,IL2VL
,IL2R,I2R,NSMR,IL1R,MCR
,M3R,NSMR,M3L,I2R,IL2VR
IL1VR,IL1VR,IL1VL,IL2VR,IL2VL,M3L
URADR,URADR,OLLR,URYDR,M4,IL2DR
IL1DL,IL1DL,URADL,IL2DL,OLLL,URYDL
,IL1R,URBR,IL2R,OLLR,RIPR
OLLR,URBR,OLLR,IL2R,IL1R,IL2DR
IL2L,IL2L,URBL,IL1L,OLLL,M3L
OLLL,OLLL,URBL,IL2L,IL1L,URYDL
URYVR,URYVR,OLQVR,URAVR,IL1VR,IL1R
URYDL,URYDL,OLLL,URADL,IL1DL,RIPL
IL1DR,IL1DR,IL1DL,URYDR,OLLR,URADR
IL1L,IL1L,URBL,RIPL,IL2L,URYVL
URYDR,URYDR,OLLR,RIPR,IL1DR,URBR
,OLLR,URBR,RIPR,URYDR,IL1R
OLQDR,OLQDR,URYDR,OLQDL,OLLR,IL1DR
URYVL,URYVL,BAGL,OLQVL,URAVL,URBL
RMER,RMER,RIPR,URYDR,BAGR,OLLR
URAVL,URAVL,CEPVL,BAGL,OLQVL,URYVL
RMEL,RMEL,BAGL,URBL,RIPL,URYVL
OLQVL,OLQVL,CEPVL,BAGL,URYVL,RMEL
OLQDL,OLQDL,URYDL,RMEL,URXL,CEPDL
RMED,RMED,OLQDL,OLQDR,RID,URXR
CEPVR,CEPVR,CEPVL,OLQVR,BAGR,RMEV
,RID,URXL,CEPDL,URXR,CEPDR
,RMEV,CEPVL,CEPVR,RIH,OLQVR
RMDVL,RMDVL,AVAL,SAAVL,RMDL,RIAL
SAAVL,SAAVL,AVAL,AFDL,RIAL,RMDVL
SMDVR,SMDVR,SAAVR,RIAR,CEPDR,URXR
URXL,URXL,CEPDL,ASKL,SMDVL,URXR
RMDVR,RMDVR,AVAR,SAAVR,RMDR,RIAR
RIAL,RIAL,SMDVL,CEPDL,SAAVL,ADFL
RIAR,RIAR,SAAVR,SMDVR,AFDR,AVAR
AVAL,AVAL,AFDL,AWBL,RMDL,AVEL
AVEL,AVAL,RMDL,AVEL,AFDL,AWBL
ALA,ALA,URXR,CEPDR,URXL,CEPDL
SMDVL,SMDVL,ASKL,RIAL,CEPDL,AWBL
URXR,URXR,CEPDR,SMDVR,ASKR,RIAR
AVAR,AVAR,AVER,AFDR,SAAVR,RMDR
,RMDL,AVEL,AVAL,AFDL,AWBL
,AVEL,SAADL,RMDL,SAADR,AVER
AFDL,AFDL,AWBL,AVEL,RMDL,AVAL
AVER,AVER,AVAR,RMDR,AFDR,AIBR
,AWAR,AFDR,ASGR,AWBR,ADFR
,AWBR,AFDR,ASGR,AWAR,ASHR
AIBL,AIBL,AVEL,SIBDL,ASHL,AWCL
,ASKR,ADLR,CEPDR,ASGR,SMDVR
RMDDR,RMDR,RMDDR,AIBR,AVER,AWCR
,ASGL,ADLL,ASKL,ASIL,AWBL
,AWCL,ASHL,SIBDL,AIBL,RMDDL
,ASGR,AWAR,AWBR,ADLR,ASER
SIBVL,SAADL,SAADR,RMDDL,RMHL,RMHR
,ASER,RIBR,ASHR,AWCR,AVDR
,ASEL,ASHL,ASGL,AVBL,RIBL
,AUAL,AWCL,RMDDL,SMBDL,RMHL
AVHR,AVHR,AVJR,ASER,AVDR,RIVR
AVJL,AVJL,RIVL,AVDL,AIZL,AVHL
,AVBL,RIVL,AVHL,AVDL,AVJL
,RIMR,SMBDR,RMDDR,RIBR,SMBDL
RIML,RIML,SMBDL,AVDL,RIBL,SMBDR
AVDL,AINL,AVDL,AVJL,ASEL,AIZL
,RIVR,AVJR,ASGR,AVHR,ASIR
,SMBDR,SMBVR,RMFR,SMBDL,SMBVL
AVJR,AVJR,AVDR,AIZR,RIVR,RICR
SMBVL,SMBVL,SMBDL,SIAVL,SMBDR,RMFL
,M1,RIVR,ASIR,AVJR,AVHR
,ASJL,SMBVL,SIAVL,RICL,AIYL
,RICL,AIYL,SMBVL,SIAVL,SIAVR
AINR,AINR,AVDR,FLPR,ADER,AVJR
AVDR,FLPR,AVDR,AIZR,RICR,AQR
,AQR,RICR,FLPR,RIS,AIYR
,SMBVR,RIS,AIML,VB2,SIAVR
AIZR,FLPR,ADER,AQR,ADAR,RICR
RICR,ADAR,ADER,AQR,RMGR,FLPR
,ADAL,ADEL,FLPL,RICL,AIML
,FLPL,ADEL,ADAL,M5,RMGL
FLPR,RMGR,AQR,FLPR,ADER,ADAR
AVKL,AVFL,VB2,AIML,AVKL,AVFR
AVKR,VB2,AVFR,AVFL,DB2,VB1
AIYL,DB2,RIFL,VA1,VB1,RIS
FLPL,RMGL,ADAL,ADEL,FLPL,M5
AIML,VB1,VA1,RIGL,DB2,VB2
AIMR,VA1,VB1,DB2,RIFR,VB2
AQR,SABD,AVG,DA1,DB1,RMGR
,SABD,AVG,DB1,RIFR,AS1
,RIGL,DD1,RIGR,AVG,AS1
,RIGL,DB1,DD1,AS1,AVG
,VD2,DD1,VD1,AVG,RIGR
,VA2,VB3,DA1,DB1,SABD
,AS1,VB3,VA2,DA1,SABD
,VB3,VA2,DA1,VD2,SABD
