GT,Top1,Top2,Top3,Top4,Top5
RMEL,RMEL,URBL,URYDL,RIPL,BAGL
RMER,RMER,URYDR,BAGR,RIPR,URYVR
CEPVL,CEPVL,URAVL,OLQVL,BAGL,URYVL
CEPVR,CEPVR,BAGR,URAVR,URYVR,OLQVR
OLQVL,OLQVL,URBL,URYVL,URAVL,BAGL
OLQVR,OLQVR,URYVR,BAGR,URBR,URAVR
RMED,RMED,OLQDL,OLQDR,URYDR,RID
URYVL,URYVL,URBL,IL1L,OLLL,OLQVL
OLQDL,OLQDL,URYDL,IL1DL,OLLL,OLQDR
OLQDR,OLQDR,URYDR,OLQDL,OLLR,IL1DR
URYDL,URYDL,OLLL,IL1DL,OLQDL,URBL
IL1DL,IL1DL,URYDL,OLLL,URADL,IL1DR
IL1DR,IL1DR,IL1DL,URYDR,URADR,IL1R
OLLL,OLLL,URBL,IL1L,URYDL,IL2L
OLLR,OLLR,URYDR,IL1R,URBR,URADR
IL1VR,IL1VL,IL1VR,URYVR,URAVR,OLQVR
IL1VL,IL1VR,IL1VL,IL2VR,URYVR,M3R
URADL,URADL,OLLL,IL1DL,URYDL,M4
IL2L,IL2L,IL1L,URBL,OLLL,URYVL
IL2R,IL2R,URBR,IL1R,URYVR,OLLR
IL2VL,IL2VL,NSML,M3L,IL1VL,IL1L
IL2VR,IL2VR,NSMR,I2R,MCR,M3R
M3L,M3L,NSML,MCL,IL1L,IL1VL
M3R,M3R,URYVR,OLLR,IL1R,IL2R
IL2DL,IL2DL,I3,IL2L,MI,M4
IL2DR,IL2DR,I3,URADR,M4,IL2R
URYDR,URYDL,IL1DL,OLQDL,OLLL,URYDR
RMDVL,RMDVL,AVAL,SAAVL,RIAL,RMDL
AVAL,AVAL,RMDVL,AVEL,RMDL,AFDL
AVEL,AVEL,RMDL,AVAL,SIBDL,AFDL
RMDL,RMDL,AVEL,AVAL,SIBDL,AFDL
AFDL,AFDL,AWBL,AVAL,RIAL,ADFL
RMDVR,RMDVR,AVAR,RIAR,SAAVR,AFDR
AVAR,AVAR,AFDR,RMDR,AVER,SAAVR
AVER,AVER,RMDR,AVAR,AFDR,AWBR
RMDR,RMDR,AFDR,AVER,AVAR,AWCR
AIBL,AIBL,SIBDL,RMDL,AWCL,AVEL
AIBR,AIBR,AWCR,ASHR,RMDR,AUAR
AUAL,AUAL,RIBL,AWCL,RMDDL,AIBL
RIML,RIML,RIBL,ASJL,SMBDL,AVDL
RIMR,RIBR,AUAR,RIMR,AVDR,ASJR
AVDL,AVDL,AINL,AIZL,AVJL,FLPL
ASEL,ASEL,AVHL,AVDL,AVJL,AVBL
AWBL,AWBL,ASGL,AWAL,ADFL,ASKL
