GT,Top1,Top2,Top3,Top4,Top5
I1R,I1R,I1L,I2R,MCR,MCL
I1L,I1L,I1R,I2L,MCL,MCR
I2L,I2L,NSML,MCL,I1L,M3L
I2R,I2R,NSMR,MCR,I1R,M3R
NSMR,NSMR,MCR,I2R,M3R,IL2VR
NSML,NSML,MCL,I2L,M3L,IL2VL
MCL,MCL,NSML,MCR,I2L,I1L
MCR,MCR,NSMR,MCL,I2R,M3R
I3,I3,MI,IL2DR,IL2DL,M4
MI,MI,I3,IL2DL,IL2DR,MCL
M4,M4,URADL,I3,URADR,IL2DL
M3R,M3R,IL2VR,IL2R,NSMR,IL1R
M3L,M3L,IL2VL,NSML,URYVL,IL1L
IL2DR,IL2DR,MI,I3,IL2R,MCR
IL2DL,IL2DL,URADL,I3,IL2L,IL1DL
IL2L,IL2L,IL1L,URADL,URYVL,M3L
IL2R,IL2R,IL1R,OLLR,URADR,IL2DR
OLQDL,OLQDL,RMED,OLQDR,URYDL,URXL
OLQDR,OLQDR,RMED,RIPR,URYDR,RMER
RMEL,RMEL,RIPL,BAGL,SAAVL,URBL
RMER,RMER,BAGR,OLQVR,CEPVR,SAAVR
URYDL,URYDL,OLLL,OLQDL,URADL,IL1DL
URYDR,URYDR,OLLR,OLQDR,URBR,RIPR
URADR,URADR,OLLR,IL2R,IL1R,URBR
OLLL,OLLL,URADL,URYDL,URBL,RIPL
OLLR,OLLR,URBR,RIPR,IL1R,URYDR
IL1DL,IL1DL,URADL,IL1DR,URYDL,OLLL
IL1DR,IL1DR,URYDR,OLLR,IL1DL,OLQDR
URBR,URBR,RIPR,BAGR,IL1R,URYVR
URBL,URBL,RIPL,URYVL,BAGL,RMEL
IL1L,IL1L,URYVL,IL1VL,IL2L,M3L
IL1R,IL1R,IL2R,M3R,NSMR,I2R
URYVR,URYVR,IL1R,URBR,OLLR,RIPR
URYVL,URYVL,URAVL,BAGL,OLQVL,RIPL
OLQVL,OLQVL,BAGL,CEPVL,URYVL,URAVL
OLQVR,OLQVR,URBR,URYVR,BAGR,RMER
IL2VR,IL1VR,URYVR,URAVR,OLQVR,BAGR
IL2VL,IL2VL,IL1VL,M3L,NSML,IL2VR
CEPDL,CEPVL,CEPVR,RMEV,BAGL,OLQVL
RID,RID,URXR,RMED,CEPDR,ALA
CEPVL,CEPDL,URXL,SMDVL,RIAL,SAAVL
SMDVL,SMDVL,RIAL,URXL,ASKL,SAAVL
SMDVR,RIAR,SAAVR,SMDVR,CEPDR,URXR
SAADR,SMDVR,RIAR,ASKR,CEPDR,ADFR
ASIR,ADLR,ASIR,RIVR,ASKR,ASGR
RIVL,RIVL,AVHL,ASIL,ASGL,ADLL
M1,M1,RIVR,AVJR,AINR,AVHR
RMDVR,RMDVR,SAAVR,SMDVR,AVAR,RIAR
RMDVL,RMDVL,RMDL,AVEL,SAAVL,AFDL
AVAL,AVAL,SAAVL,RIAL,RMDVL,AVEL
AVAR,AVAR,RMDR,AWBR,AFDR,SAAVR
AVER,AVER,RMDR,AIBR,AWCR,RMDDR
RMDR,RMDR,AWCR,AIBR,AVER,ASHR
RMDL,RMDL,AVEL,RMDVL,AFDL,AIBL
AWCL,AWCL,AIBL,AVEL,SIBDL,RMDL
ASHL,SIBDL,ASHL,AFDL,AWCL,AIBL
AWBL,AWBL,AFDL,ASGL,AWAL,ADFL
AWAR,AFDR,AWBR,SMDVR,ASKR,AWAR
AWAL,AWAL,ASHL,AIBL,ASIL,AWBL
ASGL,ASGL,AWBL,ASIL,ADLL,AWAL
ASGR,ASGR,ASIR,ADLR,AWAR,ASER
ASER,RIBR,ASER,AUAR,AVDR,ASHR
ASEL,ASEL,RIBL,ASHL,AUAL,AWCL
AVJL,AVJL,AVBL,AIZL,ASEL,AVDL
AVJR,AVJR,AVDR,AINR,AVBR,ASER
AVDL,AVDL,AIZL,RIML,AINL,RICL
AVDR,FLPR,AIZR,ADER,RICR,AVDR
AINL,AINL,AVBL,AIZL,AVJL,RIBL
AVHL,AVHL,AVJL,ASIL,ASGL,ASEL
FLPL,FLPL,ADAL,ADEL,AIML,RMGL
ADER,RMGR,ADAR,AQR,ADER,RIFR
ADEL,ADEL,ADAL,VB1,VB2,VA1
ADAL,ADAL,RIGL,RMGL,AVG,VB1
RMGL,RMGL,AS1,AVG,DB1,RIGL
I6,I6,I4,M5,AINL,ASIL
M5,M5,I6,RMGL,ADAL,I4
RICL,RICL,AIZL,SMBVL,SIAVL,RIML
RICR,RICR,AIZR,FLPR,ADAR,ADER
AIZR,ADER,ADAR,FLPR,AIZR,AQR
AIZL,AUAL,AIZL,RIML,SMBDL,ASJL
RMDDL,RMDDL,AIBL,RMDDR,SMDDL,SAADL
RMDDR,RMDDR,AIBR,AUAR,RMDDL,RIMR
AIML,AIML,VB2,AIAR,AIMR,RIS
