GT,Top1,Top2,Top3,Top4,Top5
I1L,I1L,I1R,I2L,MCR,MCL
I1R,I1R,I1L,I2R,MCR,NSMR
I2L,I2L,NSML,MCL,I1L,M3L
I2R,I2R,MCR,NSMR,I1R,I1L
MI,MI,I3,MCR,M4,IL2DR
MCL,MCL,NSML,I2L,MCR,I1L
MCR,MCR,NSMR,I2R,I1R,M3R
NSMR,NSMR,MCR,I2R,M3R,I1R
NSML,NSML,MCL,I2L,M3L,IL2VL
I3,I3,MI,IL2DR,M4,MCR
M4,M4,I3,URADR,IL2DR,MCR
IL2DL,IL2DL,IL2L,URADL,OLLL,IL1DL
M3L,M3L,NSML,IL2L,IL2VL,I2L
IL2VL,IL2VL,NSML,IL1VL,M3L,I2L
M3R,M3R,NSMR,MCR,IL2R,I2R
IL2VR,IL2VR,NSMR,M3R,MCR,I2R
URADL,URADL,IL1DL,OLLL,URYDL,IL2DL
IL1VL,IL1VL,IL1VR,M3L,IL2VL,URYVL
IL2DR,IL2DR,URADR,URYDR,IL2R,IL1DR
IL1R,IL1R,IL2R,M3R,NSMR,URYVR
IL2L,IL2L,IL1L,URBL,URYVL,OLLL
IL1DL,IL1DL,URYDL,URADL,OLLL,IL1DR
OLLL,OLLL,URBL,URYDL,IL1L,IL2L
IL1DR,IL1DR,URADR,URYDR,IL2DR,OLLR
IL2R,IL2R,IL1R,URBR,OLLR,URADR
URYVR,URYVR,IL1R,M3R,OLQVR,IL2R
IL1VR,IL1VR,IL1VL,M3R,URYVR,IL2VR
IL1L,IL1L,URYVL,URBL,IL2L,OLQVL
URYDL,URYDL,IL1DL,OLQDL,OLLL,RMEL
URYVL,URYVL,OLQVL,URAVL,IL1L,URBL
URADR,URADR,URYDR,IL1DR,OLQDR,OLLR
OLLR,OLLR,URBR,URYDR,IL1R,URADR
URAVL,URAVL,URYVL,OLQVL,IL1VL,URAVR
URBR,URBR,OLLR,IL1R,URYVR,IL2R
OLQVR,OLQVR,URYVR,M3R,URAVR,IL1R
RIPL,RIPL,URBL,RMEL,BAGL,URYVL
OLQDL,OLQDL,URYDL,OLQDR,IL1DL,RIPL
OLQDR,OLQDR,URYDR,IL1DR,OLLR,URADR
URBL,URBL,RIPL,OLQVL,RMEL,BAGL
OLQVL,OLQVL,URYVL,BAGL,URAVL,URBL
