GT,Top1,Top2,Top3,Top4,Top5
,VB3,VA2,VD2,DA1,AS1
,VA2,VB3,AS1,DA1,VD2
,VA2,DA1,VB3,VD2,AS1
,VA2,DD1,VD2,DA1,VB3
,VD2,DD1,VA2,VB3,DA1
,DA1,SABD,VA2,VD2,DB1
,SABD,DB1,DA1,VA2,AVG
,DD1,AS1,DA1,AVG,VD2
RIGR,AVG,SABD,DA1,DB1,DD1
RIGL,RIGR,AVG,DD1,RIGL,DA1
,DB1,RIGL,SABD,DD1,AVG
VB1,RIGL,VB1,DB1,VA1,RIGR
RMGL,RMGL,ADAL,ADEL,RIGL,AS1
,RIGL,VB1,VA1,VD1,AS1
,SABD,VA1,VB1,VD1,RIGL
ADAL,ADAL,RMGL,ADEL,RIGL,FLPL
,RIFR,RMGR,RIFL,VA1,VB1
,VA1,SABD,VB1,DB2,RIFR
ADAR,RMGR,ADAR,AQR,RIFR,AVG
,VA1,VB1,RIFL,DB2,RIGL
,VB1,VA1,RIGL,DB2,VB2
,DB2,VA1,RIFR,VB1,RIFL
AQR,AQR,ADAR,RMGR,ADER,RIFR
,VB2,VB1,VA1,AVFL,DB2
M5,M5,I6,ADEL,ADAL,FLPL
RMGR,RMGR,ADAR,AQR,ADER,FLPR
,DB2,SABVL,VB2,SABVR,AVFL
,VB2,RIS,SABVR,SABVL,DB2
FLPL,FLPL,ADEL,ADAL,RICL,RMGL
,VB2,RIS,SABVR,AIMR,SABVL
ADEL,ADEL,FLPL,AIZL,AINL,RICL
,AIML,VB2,ADEL,FLPL,ADAL
,VB2,AIML,RIS,SABVL,SABVR
ADER,ADER,ADAR,FLPR,AQR,RICR
I6,I6,AINL,M5,AVJL,FLPL
M1,M1,I4,RIVR,I6,M2R
,RIS,AIYL,AIML,VB2,FLPL
FLPR,FLPR,ADER,RICR,ADAR,AIZR
,FLPL,AIZL,RICL,AINL,ADEL
,AIMR,SIAVR,SABVR,SMBVR,RIS
,RICR,AIZR,I5,FLPR,ADER
,VB2,SIAVL,AIML,SMBVL,RIS
AIZL,I4,I6,M1,RIVL,AINL
,SIAVL,RICL,SMBVL,FLPL,AIML
,M2R,AINR,AVJR,AIZR,AVDR
,I5,AIAR,AIYR,SIAVL,SMBVR
,M2L,AINL,AIZL,RICL,AVJL
,AIZL,AVDL,AINL,AVJL,RICL
,RICL,ASJL,FLPL,SMBVL,SIAVL
,SMBVR,SIAVR,AIAR,SMBVL,AIMR
,SIAVL,SMBVL,SMBVR,SIAVR,SMBDL
,AINR,AVJR,AVDR,AVBR,RIVR
,AIZR,RICR,AVDR,FLPR,AVJR
,SMBVL,SMBDL,SMBVR,RMFL,SIAVL
,AVJR,AVDR,AIZR,AINR,AVBR
,SMBVL,SMBDL,RMFL,ASJL,SIAVL
AINR,AVDR,AINR,AVJR,AVBR,AVHR
,RMFL,RMFR,SMBVL,SMBDL,SMBDR
,ASJR,RIBR,SMBDR,I5,AIZR
,SMBDR,SMBVR,SMBDL,RMFR,RMFL
,SMBDL,SMBVL,RMFL,SMBDR,ASJL
,ASJL,RIBL,AUAL,SMBDL,RMHL
AINL,AVJL,AVHL,AVDL,ASIL,RIVL
AVJR,AVJR,AVDR,AINR,AVHR,RIVR
,AUAR,RMDDR,SMBDR,RMFR,RIMR
,RIBL,AVDL,ASEL,AVBL,ASHL
,AUAL,AIBL,AWCL,RMDDL,ASHL
,RIBR,AVDR,ASHR,AVBR,ASER
RIVR,RIVR,ASIR,ASGR,ADLR,AVHR
,RMFL,SMBDL,RMDDL,RMHL,RMFR
AVDL,AVDL,ASEL,AVJL,AVHL,AVBL
RIVL,RIVL,ADLL,ASIL,ASKL,ASGL
AVDR,AVJR,AVDR,ASGR,AVHR,ASER
,RMHL,RMDDR,RMHR,RIBL,AIBL
,RMDDR,RMFR,RMFL,RMDDL,SMBDL
,RMFR,SMBDR,SMBDL,RMFL,RMDDR
AVHR,AVHR,ASGR,ASER,AVJR,RIVR
AVJL,ASGL,AVHL,AWBL,AVJL,ASIL
,ASHL,ASEL,AIBL,AWAL,AWCL
,RMDDR,AUAR,AWCR,AIBR,RMFR
,RMDDL,SIBDL,AIBL,RMHL,SAADL
,AWCL,ASHL,AIBL,ASEL,SIBDL
,AIBR,AWCR,RMDR,RMDDR,ASHR
,AIBL,SIBDL,AVEL,RMDL,RMDDL
ASER,ASER,AWBR,ASHR,ASGR,AWAR
,ASGR,AWAR,ADLR,AWBR,ASKR
,AWAL,AWBL,ASGL,ASHL,ASEL
,SAADL,SAADR,RMDDL,RMDDR,SIBDL
,ASKL,ADLL,ASGL,ASIL,AWBL
,SIBDL,AIBL,AVEL,ASHL,RMDL
AVHL,ADLL,ASKL,ALA,SMDVL,ASGL
,AWBL,ASGL,AWAL,ADFL,SMDVL
,ADLR,ASKR,CEPDR,URXR,ASGR
,ASKL,ADLL,ALA,URXL,CEPDL
,RMDL,AVEL,SIBDL,AIBL,AWCL
,AIBR,AVER,RMDR,ASHR,AWCR
,AWBR,ADFR,ASGR,ASKR,SMDVR
,SAADR,SAADL,RMDR,RIH,RMDDR
,AFDL,AWBL,AVEL,ADFL,AVAL
,SAADL,SIBDL,SAADR,RMDL,RMDDL
,AWAR,AFDR,AWBR,ADFR,ASGR
,SMDVL,RIAL,SAAVL,ADFL,AWBL
,ASKR,CEPDR,URXR,SMDVR,RIAR
,AFDR,ADFR,SMDVR,RIAR,AWBR
,URXL,CEPDL,SMDVL,ASKL,RIAL
CEPDR,CEPDR,URXR,ASKR,SMDVR,ALA
,AFDR,AVER,SAAVR,ADFR,RIAR
,ALA,URXR,URXL,CEPDL,RID
,RMDR,AVER,AVAR,AFDR,SIBDR
,AVAL,RMDL,AVEL,RMDVL,AFDL
,AVER,RMDR,RIH,RMEV,SAADR
,AVAL,AFDL,RMDVL,AVEL,SAAVL
ALA,ALA,URXR,CEPDR,RID,URXL
,RMEV,RIH,RMDL,RMDR,SAADL
URXR,URXR,CEPDR,ALA,URXL,ASKR
URXL,URXL,CEPDL,ALA,URXR,SMDVL
RIAR,SMDVR,RIAR,SAAVR,CEPDR,URXR
CEPDL,CEPDL,SMDVL,URXL,RIAL,SAAVL
,AFDR,AVAR,RMDVR,SAAVR,RMDR
,RMDVL,RMDL,AVAL,AVEL,AFDL
,AVAL,AVEL,RMDVL,RIAL,SAAVL
RIAL,SMDVL,RIAL,SAAVL,URXL,RMDVL
AVAR,RMDR,AVAR,AVER,RMDVR,AFDR
SMDVL,SAAVL,RMDVL,RIAL,SMDVL,AVAL
AVER,SAAVR,AVAR,RIAR,RMDVR,SMDVR
RMDVL,RMDVL,AVAL,SAAVL,BAGL,RIAL
RID,RID,URXL,URXR,ALA,RMED
,SAAVR,RIAR,SMDVR,RMDVR,URXR
,RMDVR,SAAVR,SMDVR,RIAR,AVAR
RMDVR,AVAR,RMDVR,SAAVR,RMDR,BAGR
CEPVL,CEPVL,CEPVR,RMEV,OLQVL,BAGL
,CEPVR,OLQVR,BAGR,CEPVL,RMEV
OLQVL,OLQVL,BAGL,CEPVL,URYVL,URAVL
RMED,RMED,OLQDL,OLQDR,URYDL,RID
,RMEL,RIPL,URYDL,URBL,URYVL
IL1VL,URAVL,OLQVL,URYVL,BAGL,CEPVL
,RMER,BAGR,RIPR,URBR,OLQVR
OLQDL,OLQDL,URYDL,OLLL,RMED,IL1DL
CEPVR,BAGR,OLQVR,URYVR,CEPVR,URAVR
OLQDR,OLQDR,URYDR,OLQDL,IL1DR,OLLR
,URYDL,OLQDL,OLLL,IL1DL,URADL
,URYVL,OLQVL,BAGL,URAVL,RIPL
,URYDR,OLLR,IL1DR,RIPR,OLQDR
,URYVL,IL1VL,OLQVL,URAVL,IL2VL
BAGR,URBR,RIPR,URYVR,OLQVR,BAGR
IL1DL,IL1DL,URYDL,URADL,OLQDL,OLLL
,OLLL,URBL,URYDL,OLQDL,RIPL
,OLQVR,URYVR,URBR,URAVR,BAGR
,URBL,OLLL,IL2L,IL1L,URYDL
IL1DR,IL1DR,URADR,URYDR,OLLR,IL1DL
IL1L,IL1L,URYVL,IL2L,URBL,OLLL
,URADL,OLLL,URYDL,IL1DL,IL2DL
,OLLR,URADR,URBR,IL1R,IL2R
,URBR,OLLR,IL2R,IL1R,URYVR
IL1VR,IL1VR,IL1VL,URYVR,URAVR,IL2VR
,IL2L,OLLL,IL2DL,URADL,IL1L
IL1R,URYVR,IL1R,URBR,OLLR,IL2R
,IL2L,IL1L,OLLL,I2L,NSML
,IL2DL,URADL,I3,OLLL,IL2L
M3R,M3R,URYVR,IL1R,NSMR,IL2R
,IL2DR,URADR,OLLR,IL2R,I3
M4,M4,I3,URADR,IL2DR,IL2DL
M3L,M3L,IL2VL,NSML,IL2L,URYVL
,IL1R,IL2R,OLLR,URBR,M3R
,IL2VR,IL2VL,IL1VR,IL1VL,URYVR
,IL2R,IL2DR,URADR,IL1R,OLLR
I3,I3,MI,IL2DR,M4,IL2DL
MI,MI,I3,IL2DR,I1L,IL2DL
,NSMR,MCR,I2R,M3R,I1R
,NSML,I2L,I1L,MCL,M3L
,MCL,I1L,I2L,NSML,MCR
,MCR,I1L,NSMR,I2R,I1R
I2L,I2L,I1L,NSML,MCL,I1R
I2R,I2R,MCR,NSMR,I1R,I1L
,I1R,I1L,I2R,MCR,MI
