GT,Top1,Top2,Top3,Top4,Top5
I1L,I1L,I1R,I2L,MCL,MCR
I2R,I2R,MCR,NSMR,I1R,I1L
I2L,I2L,NSML,I1L,MCL,I1R
NSML,NSML,I2L,MCL,IL2L,IL2VL
NSMR,NSMR,I2R,MCR,I1R,IL2VR
MCR,MCR,I2R,NSMR,MCL,I1R
MCL,MCL,I2L,NSML,MCR,I1L
IL2VL,I2L,NSML,I1L,I1R,IL2VL
IL2VR,URYVR,IL1VR,URAVR,IL2VR,OLQVR
I3,I3,IL2DR,MI,M4,URADR
MI,MI,I3,IL2DR,MCR,M4
M4,M4,URADR,OLLR,URADL,I3
IL2DL,IL2DL,MI,I3,URADL,M4
IL2DR,IL2DR,MI,I3,M4,URADR
IL1DL,IL1DL,URADL,IL2DL,IL1DR,OLLL
IL1DR,IL1DR,URYDR,IL1DL,URADR,OLLR
URYDL,URYDL,OLLL,IL1DL,URADL,OLQDL
RMER,RMER,BAGR,OLQVR,RIPR,SAAVR
OLQDL,OLQDL,OLQDR,RMED,OLLL,URYDL
OLQDR,OLQDR,RMED,URYDR,OLLR,OLQDL
URBL,URBL,OLLL,IL1L,RIPL,RMEL
URBR,URBR,OLLR,RIPR,URYDR,BAGR
IL2L,IL2L,IL1L,OLLL,URBL,RIPL
IL2R,IL2R,IL1R,OLLR,URBR,URADR
IL1R,IL1R,URYVR,OLLR,URBR,RIPR
IL1L,RMEL,IL1L,BAGL,OLQVL,URBL
M3R,M3R,IL2VR,IL1VR,NSMR,URYVR
M3L,M3L,IL2L,OLLL,IL1L,NSML
OLQVL,OLQVL,RMEL,BAGL,URBL,RIPL
OLQVR,OLQVR,URYVR,URBR,BAGR,URAVR
CEPVL,CEPVL,CEPVR,RMEV,BAGL,OLQVL
CEPVR,CEPVR,RMEV,RMDR,RIH,AVER
URYVL,URYVL,RMEL,OLQVL,URAVL,BAGL
RID,RID,RMED,CEPDR,ALA,URXR
CEPDL,CEPDL,RIAL,ALA,URXL,SMDVL
CEPDR,CEPDR,ASKR,ALA,URXR,ADLR
URXR,URXR,CEPDR,ALA,ASKR,SMDVR
URXL,URXL,URXR,ALA,CEPDL,RID
SMDVL,SMDVL,RIAL,SAAVL,CEPDL,ASKL
SAAVL,SAAVL,RIAL,RMDVL,SMDVL,AFDL
AWAL,AWAL,ASGL,RIAL,ASKL,AFDL
AWBL,AWBL,AFDL,ASGL,ASEL,AVHL
AWBR,AFDR,AWBR,RIAR,SAAVR,AWCR
RMDVL,RMDVL,AVAL,RMDL,AVEL,SAAVL
RMDVR,RMDVR,RIAR,AVAR,SAAVR,SMDVR
AVAL,AVAL,RMDL,AVEL,AFDL,RMDVL
AVER,AVER,RMDR,AIBR,AVAR,RIAR
ASGR,ASGR,ADLR,AWAR,AWBR,ASKR
ASEL,ASEL,AVHL,AFDL,ASGL,AWBL
RIBL,RIBL,AVBL,ASHL,AIBL,AWCL
AIBL,AVEL,RMDL,AIBL,AWCL,AFDL
AIBR,AIBR,AWCR,AUAR,ASHR,RMDR
AUAL,AUAL,AWCL,AIBL,ASHL,SMBDL
AUAR,AUAR,AIZR,RIBR,AVDR,RICR
AVDR,AVDR,AINR,AVJR,ASHR,RIBR
AVDL,AVDL,AINL,AVBL,ASEL,RIML
AVJL,AVJL,AVHL,AVDL,AVBL,RIVL
AVJR,AVJR,ASER,AVBR,ASGR,AVDR
RIVL,RIVL,AVHL,ASIL,I6,ASGL
RIVR,RIVR,ASIR,ADLR,AVHR,AVJR
M1,M1,I4,RIVR,I6,AVJR
AINL,AINL,I6,FLPL,M5,AVDL
FLPR,FLPR,ADER,AIZR,AINR,ASJR
FLPL,FLPL,AVG,RMGL,DB1,ADAL
AIZL,AIZL,FLPL,RICL,ADAL,RIML
AIZR,AIZR,RICR,AUAR,RIMR,RIBR
RICL,RICL,ADAL,FLPL,AIML,VB2
ADEL,ADEL,ADAL,FLPL,VB1,RMGL
RMDDL,RMDDL,AIBL,SMDDL,RMDDR,RMDL
RMDDR,RMDDR,AUAR,AIBR,SMDDR,RIMR
