GT,Top1,Top2,Top3,Top4,Top5
RMEL,RMEL,RIPL,URBL,BAGL,URYDL
RMER,RMER,URYDR,RIPR,BAGR,URBR
CEPVL,CEPVL,OLQVL,BAGL,URYVL,URAVL
CEPVR,CEPVR,BAGR,OLQVR,URAVR,RMEV
OLQVL,OLQVL,URBL,RIPL,URYVL,BAGL
OLQVR,OLQVR,URBR,BAGR,RMER,RIPR
OLQDL,OLQDL,URYDL,IL1DL,OLLL,OLQDR
OLQDR,OLQDR,URYDR,URBR,IL1DR,OLLR
IL1DL,IL1DL,IL1DR,URADL,URYDL,M4
IL1DR,IL1DR,URYDR,URADR,OLQDR,IL1R
RMED,RMED,URYDR,OLQDR,RID,URADR
URAVL,URAVL,OLQVL,URYVL,CEPVL,BAGL
IL2L,IL2L,IL1L,URBL,URYVL,OLLL
IL2R,IL2R,IL1R,URBR,URADR,URYDR
OLLL,OLLL,IL1L,IL2L,URBL,URYDL
OLLR,OLLR,URYDR,URADR,IL1R,URBR
IL2DL,IL2DL,MI,I3,M4,IL2L
IL2DR,IL2DR,IL2R,URADR,MI,M4
I3,I3,MI,M4,IL2DL,IL2DR
IL2VL,IL2VL,IL1VL,NSML,URYVL,M3L
IL2VR,IL2VR,URAVR,URYVR,OLQVR,IL1VR
IL1VL,IL1VL,IL2VL,NSML,M3L,I2L
IL1VR,IL1VR,IL2VR,IL1R,IL1VL,I2R
I2L,I2L,NSML,MCL,I1L,I2R
I2R,MCR,NSMR,I2R,MCL,I1R
I1L,I1L,I1R,MCL,I2L,I2R
I1R,I1R,I1L,I2R,MCR,NSMR
URADL,URADL,M4,IL1DL,OLLL,URYDL
URYDL,URYDL,OLLL,OLQDL,URADL,IL1DL
M3L,M3L,IL1VL,NSML,IL1L,URYVL
M3R,M3R,URBR,IL1R,URYVR,OLQVR
BAGL,BAGL,RIPL,OLQVL,CEPVL,URBL
RMDVL,RMDVL,AVAL,SAAVL,RIAL,RMDL
AVAL,AVAL,RMDVL,RMDL,AVEL,AFDL
AVEL,AVEL,RMDL,AVAL,SIBDL,AFDL
AFDL,AFDL,AVAL,AVEL,RIAL,ADFL
RMDVR,RMDVR,AVAR,RIAR,SAAVR,SMDVR
AVAR,AVAR,AFDR,RMDR,AWBR,AVER
AVER,AVER,RMDR,AFDR,AVAR,AIBR
RMDL,RMDL,AVEL,AVAL,RMDVL,CEPVL
ALA,ALA,RID,CEPDR,URXL,URXR
CEPDL,CEPDL,URXL,SMDVL,ALA,RIAL
URXL,URXL,CEPDL,ALA,URXR,RID
URXR,URXR,CEPDR,ASKR,SMDVR,RIAR
SAAVL,SAAVL,RIAL,AVAL,RMDVL,SMDVL
SAAVR,SAAVR,AFDR,RIAR,AVAR,SMDVR
RMDDL,RMDDL,SIBDL,RMDL,AWCL,SMDDL
RMDDR,RMDDR,AWCR,RMDR,SIBDR,AIBR
AIBL,AIBL,RMDDL,SIBDL,AWCL,RMDL
AIBR,AIBR,AVER,RMDR,AWCR,ASHR
AUAL,AUAL,RMDDL,AWCL,AVDL,RIBL
AWBL,AWBL,ASGL,ADFL,AVAL,RIAL
AWAL,AWAL,ASGL,AWBL,ASHL,ASEL
ASHL,ASHL,AWCL,ASEL,AWBL,ASGL
RIMR,RIBR,AVDR,AVJR,RIMR,AIZR
AVDL,AVDL,AINL,AIZL,AVJL,RICL
ASEL,ASEL,AVDL,AVBL,AVHL,ASHL
AVDR,AVDR,AVJR,AINR,AIZR,RIBR
AIZL,AIZL,RICL,FLPL,M2L,AINL
AINR,AINR,AVJR,AVDR,ASIR,AVBR
AINL,AINL,I6,AVBL,ASIL,AVDL
RICR,AIZR,RICR,FLPR,AVJR,I5
FLPL,FLPL,ADEL,ADAL,RMGL,AVKL
,RIGL,RIGR,DD1,VB1,AVG
,VB3,VA2,VD2,RIGR,RIGL
VD2,VB3,VD2,VA2,DD1,DA1
URYVL,URYVL,IL1L,URBL,OLQVL,RIPL
URYVR,URYVR,URBR,IL1R,BAGR,RIPR
,URBL,RIPL,IL1L,URYVL,OLQVL
,RMEV,CEPVL,OLQVL,CEPVR,RMDL
,SMDVL,RIAL,CEPDL,URXL,SAAVL
,SMDVL,RIAL,ASKL,URXL,CEPDL
,ASKL,ADLL,URXL,SMDVL,CEPDL
,ASKR,ADLR,CEPDR,ASGR,SMDVR
,ADLL,ASIL,ASKL,ASGL,AVHL
,ASGL,AVHL,ASIL,AWBL,ASEL
,RIVL,AVHL,ASIL,ASGL,AVJL
,RIVR,AVHR,AVJR,ASIR,ASGR
,AVJL,AVDL,AVBL,AINL,ASEL
,AWCL,RMDL,SIBDL,AVEL,ASHL
,ASGR,ASIR,AWBR,ASER,AVHR
,RIAR,SMDVR,CEPDR,SAAVR,ASKR
,RIAL,SMDVL,SAAVL,URXL,CEPDL
,RMDR,AVER,AVAR,AFDR,AWCR
AUAR,SAADL,SAADR,RIH,RMDL,RMEV
,SAADR,SAADL,RMDDR,RMDDL,RMFL
,ASJR,SMBDR,RIBR,RIMR,SMBDL
,SMBDL,SMBVL,SIAVL,ASJL,RMFL
,SMBVR,SMBDR,RMFR,SIAVR,SMBVL
,SMBVL,SIAVL,SMBDL,ASJL,RICL
,SIAVL,SMBVL,SIAVR,RICL,AIML
,RICR,AIAR,SIAVR,AIYR,SMBVR
,AWAR,ASGR,AWBR,ASER,AFDR
,SMBDR,SMBDL,RMFL,RMFR,RMDDR
,AUAR,AWCR,ASHR,RIBR,AIBR
,SMBDL,RMFL,SMBVL,RMFR,SMBDR
,RMDDL,SMDDL,RMFL,SMBDL,RMHL
,RMFR,RMDDR,SMBDR,RIMR,SMDDR
,RMFR,RMFL,RMDDR,SMBDR,SAADR
,FLPR,RICR,ADER,AIZR,AQR
,RICL,FLPL,ADEL,AIZL,ADAL
,ADER,FLPR,RICR,ADAR,AQR
,ADAR,AQR,RICR,ADER,FLPR
,AIAR,AIMR,RIS,SABVR,SIAVR
,VB2,AIML,AIMR,RIS,SABVR
,AQR,RIS,ADAR,VB2,DB2
,AVKL,DB2,AIML,VB2,RIFL
,RMGR,AQR,ADAR,SABD,RIFR
,ADEL,ADAL,RMGL,FLPL,VB1
,SABVL,DB2,SABVR,VB2,AVFR
,DB2,VA1,SABVL,RIFL,RIFR
,DB1,VA1,DB2,VB1,RIGL
,ADAL,RMGL,RIGL,ADEL,RIGR
,VB1,RIGL,VA1,RIGR,DB1
,DD1,AVG,VD2,VD1,RIGR
,VD2,DD1,AVG,VD1,SABD
,AS1,AVG,VD2,VA2,DD1
,DA1,VA2,AS1,SABD,VB3
,AVG,VD2,DD1,VD1,SABD
,VA2,VB3,VD2,AS1,SABD
,M1,I6,M5,I4,ADAR
,RIFR,SABD,VA1,AVG,VD1
,AVFL,AVFR,VA1,RIFL,DB2
,AVFL,AVFR,VB2,SABVL,SABVR
,IL1L,URBL,IL2L,RIPL,OLLL
