GT,Top1,Top2,Top3,Top4,Top5
AMSOR,I1R,I1L,MCR,I2R,MI
AMSOL,I1L,I1R,I2L,MCL,MI
I1L,I1L,I1R,I2L,MCL,MCR
I1R,I1R,I1L,MCR,I2R,I2L
IL2VL,I2L,MCL,NSML,IL2VL,I1R
I2R,I2R,MCR,NSMR,MCL,I1R
I2L,I2L,NSML,MCL,M3L,IL2VL
MCR,MCR,NSMR,MCL,I2R,NSML
MCL,MCL,I2L,NSML,MCR,M3L
MI,MI,I3,M4,IL2DR,IL2DL
NSML,NSML,I2L,MCL,IL2VL,M3L
NSMR,NSMR,MCR,I2R,MCL,M3R
I3,I3,MI,M4,IL2DR,IL2DL
M4,M4,I3,MI,IL2DL,IL2DR
IL2VR,IL2VR,IL1VR,IL1VL,IL2VL,M3R
M3L,M3L,NSML,IL2VL,IL1VL,MCL
M3R,M3R,NSMR,MCR,M3L,IL2VR
IL1VL,IL2VL,IL1VL,M3L,NSML,IL1VR
IL2L,IL2L,IL2DL,IL1L,URADL,OLLL
IL2DL,IL2DL,URADL,IL2L,I3,IL1DL
IL2DR,IL2DR,URADR,I3,IL1DR,IL2R
IL1L,IL1L,IL2L,M3L,IL1VL,URYVL
URADR,URADR,OLLR,IL1DR,URYDR,IL2DR
IL1VR,IL1VR,IL1VL,IL2VR,URYVR,IL2VL
IL2R,IL2R,URBR,IL1R,OLLR,URYVR
OLLL,OLLL,URBL,URYDL,IL1L,IL2L
URADL,URADL,IL1DL,URYDL,OLLL,IL2DL
IL1R,IL1R,IL2R,URBR,URYVR,RIPR
IL1DL,IL1DL,URADL,URYDL,IL1DR,OLLL
OLLR,OLLR,URBR,URADR,URYDR,IL2R
IL1DR,IL1DR,URYDR,IL1DL,URADR,OLLR
URBL,URBL,RIPL,OLLL,IL1L,URYDL
URYVL,URYVL,IL1VL,URAVL,OLQVL,BAGL
RIPR,RIPR,URBR,OLLR,URYVR,BAGR
URYVR,URYVR,URAVR,OLQVR,RIPR,IL1VR
URYDL,URYDL,OLQDL,IL1DL,URADL,OLLL
URBR,URBR,RIPR,OLLR,RMER,URYDR
URYDR,URYDR,OLQDR,IL1DR,OLLR,URADR
RIPL,RIPL,URBL,URYDL,RMEL,OLLL
URAVR,URAVR,URYVR,OLQVR,CEPVR,IL1VR
OLQDL,OLQDL,URYDL,IL1DL,RMED,OLQDR
BAGL,BAGL,OLQVL,URYVL,RIPL,URBL
OLQDR,OLQDR,URYDR,RMED,IL1DR,OLQDL
BAGR,BAGR,RIPR,RMER,URBR,OLQVR
RMEL,RMEL,RIPL,URYDL,BAGL,URBL
OLQVL,OLQVL,BAGL,URAVL,CEPVL,URYVL
RMED,RMED,OLQDL,OLQDR,URYDL,RID
OLQVR,OLQVR,BAGR,CEPVR,URAVR,URYVR
RMER,RMER,BAGR,RIPR,URBR,URYDR
URAVL,URAVL,CEPVL,RMEV,OLQVL,BAGL
,CEPVR,RMEV,BAGR,OLQVR,URAVR
RMDVL,RMEL,RMDVL,SAAVL,BAGL,AVAL
CEPVR,CEPVL,RMEV,RMDL,CEPVR,RMDVL
RID,RID,RMED,URXR,ALA,CEPDR
AVL,RMEV,CEPVR,RMDR,AVER,RIH
RMDVR,RMDVR,AVAR,RIAR,SAAVR,SMDVR
URXR,URXR,CEPDR,SMDVR,RIAR,RID
ALA,ALA,URXR,URXL,CEPDR,RID
SAAVR,SAAVR,RIAR,AVAR,SMDVR,RMDVR
SIADL,RMEV,RIH,CEPVL,RMDL,CEPVR
SIADR,RMEV,RIH,CEPVR,RMDR,CEPVL
AVAL,SAAVL,AVAL,RIAL,RMDVL,AFDL
RMDL,AVAL,RMDVL,RMDL,SAAVL,AFDL
URXL,URXL,CEPDL,RIAL,SAAVL,ALA
RIAR,RIAR,SMDVR,CEPDR,URXR,SAAVR
AVAR,AVAR,AFDR,RMDVR,RMDR,SAAVR
CEPDR,CEPDR,URXR,SMDVR,RIAR,ASKR
SMDVL,SMDVL,RIAL,CEPDL,URXL,SAAVL
AVEL,AVEL,AVAL,RMDL,AFDL,RMDVL
CEPDL,CEPDL,URXL,ALA,ASKL,SMDVL
RIAL,RIAL,SAAVL,SMDVL,URXL,CEPDL
AFDL,AFDL,AVAL,SAAVL,AVEL,RMDVL
ADFR,ADFR,RIAR,SMDVR,ASKR,SAAVR
ASKR,ASKR,SMDVR,RIAR,CEPDR,URXR
RMEV,RMEV,SAADR,SAADL,RIH,RMDDL
AFDR,AFDR,AVAR,RMDR,AVER,ADFR
AVER,AVER,RMDR,AVAR,AFDR,AIBR
RMDR,RMDR,AVER,AWCR,AIBR,SIBDR
RIH,SAADR,RMEV,SAADL,SIBVR,RIH
CEPVL,RMDL,AWCL,AVEL,AFDL,AVAL
SMBDL,RMEV,SAADL,SAADR,RIH,SIBVR
ADFL,ADFL,RIAL,ASKL,SAAVL,AWBL
SMDDR,SIBDL,RMDL,AVEL,AIBL,AWCL
SIBDL,AWCL,AFDL,RMDL,AVEL,AVAL
ASKL,ASKL,ADLL,URXL,CEPDL,RIAL
ADLR,ASKR,ADFR,RIAR,ADLR,SMDVR
AWBR,AWBR,ADFR,AWAR,ASGR,AFDR
AIBL,AFDL,AVEL,AIBL,AWCL,AWBL
AWBL,AWBL,AFDL,AWAL,AVAL,ADFL
SMDVR,SMDVR,ASKR,CEPDR,ADLR,RIAR
ASGR,AWAR,ASGR,ADFR,AWBR,ADLR
SAADR,SAADL,RMDDR,SAADR,RMDDL,SIBVR
