GT,Top1,Top2,Top3,Top4,Top5
AMSOR,I1R,I1L,MCR,MI,I2R
AMSOL,I1L,I1R,I2L,I3,MI
I1R,I1L,I1R,MCR,I2R,NSMR
I1L,I1L,I2L,I1R,MCL,NSML
URAVL,I2L,NSML,MCL,M3L,IL2VL
IL2DR,I3,MI,IL2DR,I1R,MCR
IL2DL,I3,IL2DL,MI,I1L,IL2DR
MI,I3,MI,MCR,MCL,IL2DR
I2L,NSML,M3L,MCL,I2L,IL2L
I2R,I2R,MCR,NSMR,I1R,M3R
MCL,MCL,NSML,M3L,I2L,MCR
NSML,I2L,M3L,IL2L,NSML,IL1L
MCR,MCR,NSMR,I2R,MCL,I3
NSMR,NSMR,MCR,I2R,M3R,IL2VR
OLQVL,IL2L,URBL,M3L,IL1L,OLLL
I3,MI,I3,IL2DL,IL2DR,M4
IL2L,IL2L,IL1L,URBL,OLLL,IL2DL
IL2R,IL2R,IL1R,NSMR,IL2DR,I2R
IL1VL,IL1VL,IL1VR,IL2VL,M3L,URYVL
M4,M4,I3,URADL,IL1DL,IL2DL
M3L,M3L,URYVL,OLQVL,IL1L,IL2L
M3R,M3R,NSMR,IL1R,IL2R,IL2VR
IL2VR,IL2VR,IL1VR,NSMR,URAVR,IL2VL
URBL,URBL,IL2L,IL1L,OLLL,URYVL
IL1R,IL1R,IL2R,M3R,NSMR,URBR
IL2VL,URAVL,URYVL,OLQVL,IL2VL,IL1VL
URADL,URADL,URYDL,IL1DL,OLLL,IL1L
URYVL,URYVL,OLQVL,URBL,IL1L,BAGL
IL1L,IL1L,URBL,RIPL,URYVL,OLLL
URADR,URADR,OLLR,URYDR,IL1DR,IL2DR
IL1VR,IL1VR,IL1VL,URAVR,URYVR,OLQVR
IL1DL,IL1DL,URYDL,URADL,OLQDL,IL1DR
OLLL,OLLL,URYDL,URBL,OLQDL,IL1DL
OLLR,OLLR,URBR,URYDR,IL1R,URADR
URYVR,URYVR,IL1R,URBR,IL1VR,URAVR
URBR,URBR,OLLR,IL1R,RIPR,IL2R
IL1DR,IL1DR,IL1DL,URYDR,URADR,OLQDR
URYDL,URYDL,OLQDL,IL1DL,OLLL,RIPL
URYDR,URYDR,IL1DR,URADR,OLLR,OLQDR
,URYDL,OLQDL,IL1DL,OLLL,RIPL
RIPR,RIPR,URBR,RMER,IL1R,BAGR
RIPL,RIPL,BAGL,OLQVL,URBL,RMEL
BAGL,BAGL,OLQVL,URYVL,CEPVL,RIPL
RMEL,RMEL,RIPL,URYDL,URBL,BAGL
RMER,RMER,RIPR,URYDR,URBR,OLLR
OLQVR,OLQVR,CEPVR,BAGR,URAVR,URYVR
OLQDR,OLQDR,URYDR,IL1DR,OLQDL,OLLR
OLQDL,OLQDL,URYDL,IL1DL,RMED,OLQDR
