GT,Top1,Top2,Top3,Top4,Top5
I1R,I1R,I1L,MCR,I2R,MCL
I1L,I1L,I1R,I2L,MCL,MCR
I2L,I2L,I1L,MCL,NSML,I1R
I2R,I2R,MCR,I1R,NSMR,I1L
MCL,MCL,I2L,NSML,I1L,MCR
MCR,MCR,NSMR,I2R,MCL,I1R
MI,MI,I3,M4,IL2DR,I1L
NSMR,NSMR,I2R,MCR,M3R,MCL
NSML,NSML,I2L,MCL,M3L,I1L
I3,I3,MI,M4,IL2DR,IL2DL
IL2DL,IL2VL,NSML,M3L,IL1VL,I2L
M4,M4,I3,IL2DR,IL2DL,MI
IL1VL,IL1VL,M3R,M3L,IL1VR,NSMR
IL2VL,IL2DL,URADL,I3,M4,IL1DL
IL2R,IL2DR,URADR,IL2R,NSMR,OLLR
IL2DR,IL2VR,M3R,IL1VR,NSMR,IL1VL
IL2L,IL2L,IL1L,NSML,M3L,OLLL
URADL,URADL,IL1DL,URYDL,OLLL,IL2DL
IL1L,IL1L,IL2L,M3L,OLLL,URADL
M3L,M3L,M3R,IL2VL,IL1VL,IL1L
M3R,M3R,IL1R,IL2R,OLLR,M3L
IL1DL,IL1DL,URADL,IL1DR,URYDL,IL2DL
IL1R,IL1R,IL2R,OLLR,URADR,URYDR
IL2VR,URADR,OLQDR,IL1DR,URYDR,IL2DR
URADR,URADR,IL1DR,URYDR,OLLR,OLQDR
URBR,OLLR,URADR,URYDR,IL1DR,IL2R
IL1VR,IL1VR,IL1VL,IL2VR,URYVR,IL1R
URYDL,URYDL,IL1DL,URADL,OLLL,OLQDL
URYVR,URYVR,IL1R,URBR,OLLR,IL2R
IL1DR,IL1DR,OLQDR,URYDR,IL1DL,URADR
URYVL,URYVL,IL1VL,URAVL,IL1L,OLQVL
OLLL,OLLL,URBL,IL1L,URYDL,RIPL
URYDR,URYDR,OLQDR,IL1DR,URADR,RMED
OLQVR,URYVR,OLQVR,IL2VR,IL1VR,URBR
OLLR,URYDR,OLQDR,OLLR,IL1DR,URBR
RIPR,RIPR,URBR,URYDR,OLLR,IL1R
OLQDL,OLQDL,OLQDR,URYDL,IL1DL,RMED
URAVL,URAVL,IL1VL,URYVL,URAVR,OLQVL
URBL,URBL,RIPL,OLLL,RMEL,URYVL
RIPL,RIPL,URBL,URYDL,RMEL,OLLL
OLQVL,OLQVL,URYVL,URAVL,IL1VL,CEPVL
BAGR,BAGR,URBR,RIPR,IL1R,OLQVR
URAVR,URAVR,URYVR,OLQVR,CEPVR,IL1VR
OLQDR,OLQDR,RMED,IL1DR,URYDR,RID
RMEL,RMEL,RIPL,URBL,BAGL,URYVL
RMER,RMER,BAGR,RIPR,URBR,URYDR
RMED,RMED,OLQDR,RID,ALA,OLQDL
CEPVR,OLQVR,CEPVR,BAGR,URYVR,URAVR
BAGL,BAGL,OLQVL,RMEL,CEPVL,URAVL
RIH,CEPVL,RMEV,CEPVR,OLQVR,RIH
CEPVL,CEPVL,RMEV,CEPVR,OLQVL,RMDL
