GT,Top1,Top2,Top3,Top4,Top5
AMSOR,I1R,MCR,I2R,I1L,NSMR
I1R,I1R,I1L,MCR,I2R,I2L
I1L,I1L,I2L,I1R,MCR,MCL
AMSOL,I1R,MCL,I2L,MI,NSML
I2R,I2R,MCR,NSMR,I1R,MCL
I2L,I2L,MCL,I1L,NSML,MCR
MCL,MCL,I2L,NSML,MCR,I1L
MI,MI,I3,IL2DR,M4,MCL
NSML,NSML,MCL,I2L,MCR,I1L
MCR,MCR,NSMR,I2R,MCL,I1R
NSMR,NSMR,MCR,I2R,MCL,I1R
I3,I3,MI,IL2DR,M4,IL2DL
M4,M4,IL2DR,I3,IL2DL,MI
M3L,M3L,NSML,I2L,MCL,M3R
IL2DL,IL2DL,URADL,M4,IL1DL,I3
M3R,M3R,NSMR,I2R,MCR,M3L
IL1DL,IL1DL,IL2DR,IL1DR,IL2DL,URADL
IL2L,IL2L,IL1L,OLLL,URBL,NSML
URADL,URADL,URYDL,OLLL,IL1DL,URADR
IL2DR,IL2DR,URADR,OLLR,URYDR,IL2R
IL2R,IL2R,IL1R,IL2DR,URADR,OLLR
IL1VL,IL1VL,NSML,IL2VL,I2L,M3L
IL2VR,IL2VR,IL1R,NSMR,URYVR,IL2R
IL2VL,IL2VL,NSML,I2L,IL1VL,IL1L
IL1DR,IL1DR,URADR,IL1DL,URYDR,IL2DR
IL1VR,IL1VR,IL1R,IL2VR,URYVR,URAVR
OLLR,OLLR,URADR,URYDR,IL1R,RIPR
RIPR,IL1R,URBR,IL2R,RIPR,URYVR
OLLL,OLLL,URYDL,IL1L,URBL,URADL
IL1L,IL1L,IL2L,OLLL,URYVL,URBL
OLQDL,OLQDL,URYDL,IL1DL,RMED,OLQDR
URADR,URYDR,URADR,OLLR,RIPR,OLQDR
IL1R,RIPR,URBR,IL1R,OLLR,IL2R
URYVL,URYVL,IL1L,URBL,URAVL,RIPL
URYDL,URYDL,OLQDL,IL1DL,OLLL,RIPL
URBL,URBL,RIPL,IL1L,OLLL,URYDL
URYVR,URYVR,IL1R,URBR,URAVR,RIPR
URBR,URBR,RIPR,RMER,IL1R,BAGR
URAVL,URAVL,URYVL,URBL,OLQVL,RIPL
BAGL,RIPL,URBL,BAGL,IL1L,URYVL
OLQDR,OLQDR,URYDR,RMED,OLQDL,RMER
RMED,RMED,OLQDL,OLQDR,URYDR,URYDL
OLQVR,OLQVR,URYVR,RIPR,URAVR,RMER
RMER,RMER,URYDR,SAAVR,RIPR,OLQDR
BAGR,BAGR,URBR,RIPR,RMER,SAAVR
RMEL,RMEL,RIPL,URBL,BAGL,URYDL
OLQVL,OLQVL,BAGL,CEPVL,URAVL,RIPL
URAVR,URAVR,BAGR,OLQVR,RMER,URYVR
RMDVR,RMDVR,SAAVR,BAGR,SMDVR,RMER
RMDVL,RMDVL,BAGL,SMDVL,SAAVL,AVEL
SAADL,BAGL,CEPVL,OLQVL,RMDVL,SAAVL
CEPVL,CEPVL,RMEV,RIH,BAGL,OLQVL
RID,RID,CEPDR,ALA,URXR,ASKR
SMDVR,SAAVR,SMDVR,RIAR,CEPDR,URXR
CEPDL,CEPDR,RIAR,SMDVR,URXR,ASKR
SMDVL,SAAVL,SMDVL,RIAL,ADFL,AVAL
URXL,URXL,CEPDL,ASKL,SMDVL,SAAVL
SIBDR,BAGR,RMDR,SAAVR,AFDR,AVAR
RIAR,RIAR,SMDVR,SAAVR,AFDR,ADFR
CEPVR,CEPVR,RMDR,AVER,AVAR,RIH
