GT,Top1,Top2,Top3,Top4,Top5
I1R,I1R,I1L,I2R,MCR,I2L
I1L,I1L,I1R,I2L,MCR,MCL
I2L,I2L,NSML,MCL,I1L,MCR
I2R,MCR,I2R,NSMR,I1R,MCL
NSMR,NSMR,MCR,I2R,MCL,M3R
NSML,NSML,MCL,I2L,MCR,I1L
MCL,MCL,MCR,NSML,I2L,I1L
I3,I3,MI,MCR,MCL,M4
M4,M4,URADL,I3,MCR,URADR
IL2DL,IL2DL,I3,URADL,MI,IL1DL
IL2DR,IL2DR,URADR,I3,MI,OLLR
M3R,M3R,NSMR,I2R,IL2VR,MCR
M3L,M3L,NSML,M3R,IL2VL,IL2L
IL2VL,IL2VL,IL1VL,NSML,URAVL,I2L
IL2VR,IL2VR,IL1VL,IL1VR,IL2VL,URAVL
OLQDL,OLQDR,RMED,URYDR,RMER,IL1DR
OLQDR,OLQDL,RMED,RMEL,URYDL,URXL
IL1DL,IL1DL,IL1DR,OLQDL,URYDL,URADL
IL1DR,IL1DR,URADR,URYDR,IL1DL,OLLR
URYDR,URYDR,OLLR,RMER,URADR,RIPR
URYDL,URYDL,RMEL,URADL,OLLL,OLQDL
OLLL,OLLL,URADL,URYDL,IL1DL,IL1L
OLLR,OLLR,URBR,URADR,RIPR,IL2R
IL2L,IL2L,OLLL,IL1L,URADL,RIPL
IL2R,IL2R,NSMR,IL1R,URBR,M3R
IL1R,IL1R,IL2R,URYVR,IL2VR,OLLR
IL1L,IL1L,RIPL,RMEL,OLLL,BAGL
URBL,URBL,RMEL,RIPL,OLLL,BAGL
RMER,RMER,BAGR,RIPR,URBR,OLQVR
RMEL,RMEL,SAAVL,BAGL,RIPL,RMDVL
OLQVL,OLQVL,BAGL,URAVL,CEPVL,RMEL
OLQVR,OLQVR,CEPVR,URAVR,BAGR,URYVR
URYVL,URYVL,URAVL,BAGL,RMEL,RIPL
URYVR,URYVR,URAVR,IL1VR,OLQVR,RIPR
CEPVL,CEPVL,BAGL,URAVL,RMDL,AVEL
CEPVR,CEPVR,RMEV,CEPVL,RIH,BAGR
ALA,ALA,CEPDR,URXR,URXL,CEPDL
RID,RID,CEPDR,ALA,RMED,URXR
CEPDL,CEPDL,URXL,SMDVL,RIAL,ALA
CEPDR,CEPDR,SMDVR,RIAR,URXR,SAAVR
URXL,URXL,ASKL,URXR,CEPDL,RIAL
URXR,URXR,CEPDR,RIAR,SAAVR,SMDVR
RIVR,RIVR,AVJR,AVHR,ASIR,AINR
RIVL,RIVL,AVHL,ASIL,AVJL,ASGL
SMDVR,SMDVL,RIAL,CEPDL,SAAVL,ASKL
SMDVL,RIAR,SMDVR,SAAVR,ASKR,AFDR
SAAVR,SAAVR,SMDVR,RIAR,RMDVR,BAGR
RMDVL,RMDVL,RIAL,AVAL,SAAVL,SMDVL
RMDVR,RMDVR,BAGR,AVAR,RMDR,AVER
AVAR,AVAR,RMDR,AVER,AFDR,SAAVR
AVAL,AVAL,AVEL,RMDL,AFDL,SAAVL
AVER,SMDDR,AVER,RMDR,RMDDR,SAADL
RMDL,RMDL,AVEL,AWCL,AVAL,AFDL
AWBR,AWCR,AFDR,AWBR,AIBR,ASHR
AWBL,AWBL,ASGL,RIAL,SAAVL,ADLL
ASGL,ASGL,AWBL,AVHL,ADLL,ASIL
ASGR,ASGR,AWBR,AWAR,ASHR,ASER
AWAL,ASHL,AWAL,AWCL,AIBL,RIBL
AIBL,AWCL,AIBL,RMDDL,AUAL,ASHL
AIBR,AIBR,SMBDR,RMFR,RMDDR,SAADL
AUAL,AUAL,AIZL,AWCL,RIBL,ASHL
ASEL,ASEL,AVBL,AVHL,RIBL,AWCL
ASER,RIBR,ASER,ASHR,AIZR,AVBR
AVHR,ASER,AVJR,AVHR,AINR,AVDR
AINL,FLPR,AINR,ADER,RICR,AIZR
AINR,I6,AINL,FLPL,AVDL,M5
AVJL,AVJL,AINL,AVBL,AIZL,I6
AVJR,AINR,AVJR,AVDR,AIZR,AVBR
AVDR,RICR,FLPR,AIZR,AVDR,RIBR
AVDL,AVDL,AINL,AVBL,ASIL,AVHL
RIML,FLPL,RICL,RIML,RIS,AIYL
RIMR,SMBVR,RICR,RIMR,I5,AVL
M1,M1,ADAR,AVHR,ADER,I4
AIZL,AIZL,ADAL,RICL,ADEL,FLPL
RICR,AVFR,VB2,RIS,AVFL,ADAR
RICL,RICL,ADAL,ADEL,AVKL,FLPL
ADER,ADAR,RIFR,RMGR,AQR,AVG
ADEL,VB3,ADAL,VA1,VB1,VA2
FLPL,FLPL,DD1,VA1,AVG,RMGL
RMDDR,RMDDR,SMBDL,AIMR,RMFL,RIMR
RMDDL,RMDDL,AUAL,SMBDL,RIML,SMBVL
AVL,AVL,RIS,AIYL,SMBVL,RIML
