GT,Top1,Top2,Top3,Top4,Top5
,VA2,VB3,AS1,DA1,VD2
,VD2,VB3,DD1,AS1,VA2
,SABD,DA1,AVG,VD2,AS1
,DD1,AVG,DA1,VA2,VD2
,DB1,DA1,SABD,AVG,DD1
,RIGL,DD1,AS1,VB3,RIGR
,RIGL,RIGR,DB1,DA1,VA1
,VD1,RIGL,DD1,AS1,VB1
,DB1,VA1,AVG,SABD,DA1
,AVG,RIFR,SABD,DB1,VA1
,VA1,VB1,RIFL,RIFR,AVG
,RIFR,VA1,AVG,VB1,RIFL
,VB1,RIGL,RIFL,VA1,ADAL
AQR,RMGR,ADAR,AQR,ADER,FLPR
,RIFR,RIFL,VA1,VB1,DB2
,VB1,RIFR,VB2,RIFL,RIS
,RIFR,RMGR,AVFR,RIFL,ADAR
M5,M5,RMGL,ADAL,ADEL,I6
,ADAR,ADER,RMGR,AQR,FLPR
ADAL,ADAL,ADEL,RMGL,FLPL,RIFL
,ADAR,SABVR,RMGR,AQR,RIS
,SABVL,RIS,VB2,RIFL,SABVR
,SABVR,ADAR,RIS,AVFR,AQR
,FLPR,ADER,AINR,AVDR,AIZR
RMGL,ADEL,FLPL,RMGL,ADAL,RICL
I6,I6,AINL,M5,AVJL,I4
M1,M1,I4,RIVR,AINR,I6
,FLPR,ADER,AIZR,RICR,AINR
,I5,RIS,VB2,ADER,ADAR
,VB2,AIML,RIS,SABVL,AVKL
,RIS,VB2,AIML,AVKR,SABVR
,AQR,FLPR,ADER,SABVR,AVKR
,AQR,ADER,FLPR,RICR,AVKR
,I4,RIVL,I6,ASIL,M1
,FLPR,RICR,ADER,AIZR,M2R
,M2L,AIZL,AINL,FLPL,RICL
FLPR,AVDR,AINR,AVJR,FLPR,AIZR
FLPL,FLPL,ADEL,RICL,AIZL,AINL
ADEL,AIZL,FLPL,RICL,ADEL,AINL
,M2R,AINR,I4,AVJR,AVDR
,AVKR,AIMR,SIAVR,SMBVR,AIML
,FLPR,RICR,AIZR,ASJR,M2R
,RICL,FLPL,AIZL,M2L,ASJL
,AIYL,I5,SMBVR,ASJL,RICL
,AIMR,SIAVR,SMBVR,RICR,AVKR
,AINR,AVHR,AVJR,RIVR,ASIR
,RICR,ASJR,AIMR,SMBVR,RIMR
,AIZR,RICR,ASJR,FLPR,RIBR
,AIYL,SMBVR,SMBVL,AIML,AVL
,RIMR,ASJR,RICR,AIZR,SMBVR
,AIZR,ASJR,RIBR,RICR,RIMR
AVJR,AVJR,AVDR,AINR,AVBR,AVHR
,SMBVL,SMBVR,AIAL,SMBDL,AIAR
,AINL,AVHL,RIVL,ASIL,AVJL
,ASIR,ADLR,RIVR,AVHR,ASGR
,SMBVR,AIAR,ASJR,RIMR,SIAVR
,AUAR,ASJR,RIMR,RIBR,AIZR
AVDR,AVHR,ASGR,AWBR,RIVR,AVJR
,AVDR,AVBR,AUAR,RIBR,ASER
AINL,AINL,AVDL,AVJL,AVBL,ASEL
,RIBL,AVDL,AVBL,AVJL,AIZL
,ASER,ASGR,AWBR,AVHR,ASHR
RIVR,ADLR,RIVR,ASGR,ASIR,ASKR
,ASJL,SMBVL,SMBDL,RIBL,RIML
,SMBDL,SMBVL,RMFL,RMHL,RMFR
,SMBDR,RIMR,ASJR,RMHR,RMFR
,ASGR,AWBR,ADLR,ASKR,AWAR
AVJL,AVJL,AVDL,ASEL,AVBL,ASHL
,RIBR,RMDDR,AIBR,AWCR,ASHR
,ASHR,AWCR,ASER,AIBR,RIBR
AVHR,ADLR,ASKR,RIAR,RIVR,AWBR
,AUAR,AIBR,AWCR,RIBR,ASHR
AVDL,AVDL,ASEL,ASHL,AVJL,AWBL
AVHL,ASEL,AWBL,AVHL,AVJL,ASGL
,AWAR,AWBR,ASGR,ASHR,ADFR
,RIBL,RMDDL,AIBL,SMBDL,ASHL
RIVL,ASGL,AWBL,RIVL,ADLL,AVHL
,ADLR,ASKR,URXR,ALA,CEPDR
,RMHR,RMDDR,AWCR,SIBVR,RMFR
,ASHL,AWCL,ASEL,AUAL,RIBL
,AWCR,ASHR,AFDR,AVAR,RMDR
,AWAL,AWBL,ASGL,ASHL,AFDL
,AUAL,AWCL,RMDDL,RIBL,AIBL
,AWCL,ASHL,AIBL,ASEL,AWAL
AVER,AVER,AIBR,RMDR,AWCR,SIBDR
,ADLL,ASKL,RIAL,URXL,ADFL
,AFDR,AWBR,SMDVR,AVAR,ADFR
,AWBL,ASGL,ADFL,AFDL,RIAL
,AWCL,ASHL,AWBL,ASEL,AFDL
,RMDR,AVER,AVAR,AFDR,RMDVR
,RMDDL,AIBL,SAADL,SIBDL,AWCL
,SIBVR,SAADL,SAADR,SMDDR,RMDDR
,URXL,URXR,ASKL,ALA,CEPDL
,SAADL,SAADR,SIBVR,RMDDL,SMDDR
SMDVR,CEPDR,URXR,ASKR,SMDVR,RIAR
,AFDL,AVAL,ADFL,AWBL,RIAL
,SAAVR,SMDVR,RIAR,AVAR,AFDR
,ASKL,RIAL,URXL,SMDVL,SAAVL
,SIBDL,AWCL,AIBL,RMDL,ASHL
,URXL,ALA,URXR,RID,CEPDR
ALA,URXL,RIAL,ALA,SAAVL,ASKL
,SIBDR,RMDR,SAADR,SIBVR,AVER
,SAADR,SIBVR,SAADL,SMDDR,RMDDR
,SIBDL,SAADL,SMDDL,RMDDL,AIBL
AVAR,RMDVR,AVAR,SAAVR,SMDVR,AFDR
,SMDVL,SAAVL,RIAL,AVAL,RMDVL
AVEL,AVEL,RMDL,AIBL,AFDL,SIBDL
RIAR,SMDVR,RIAR,SAAVR,CEPDR,URXR
,AVAL,RMDVL,RMDL,AFDL,AVEL
,URXL,SAAVL,RIAL,SMDVL,CEPDL
,RMDR,AVAR,AVER,RMDVR,CEPVR
RID,CEPDL,RID,SAAVL,URXL,RIAL
AVAL,RMDL,RMDVL,AVAL,AVEL,AFDL
RIAL,AVAL,SAAVL,RMDVL,RIAL,SMDVL
RMDVR,SAAVR,RMDVR,SMDVR,RMER,CEPDR
SMDVL,RMDVL,RMDL,AVAL,BAGL,AVEL
SAAVL,CEPVL,RMDL,BAGL,RMEV,OLQVL
RMEV,CEPVR,RMEV,OLQVR,BAGR,RIH
,CEPVR,OLQVR,CEPVL,RMEV,URAVR
,OLQVR,BAGR,CEPVR,RMER,URAVR
RMED,OLQDL,RMED,URYDL,OLQDR,IL1DL
,BAGR,RMER,OLQVR,RIPR,URBR
,OLQVL,CEPVL,URAVL,OLQVR,CEPVR
,RMER,RIPR,URYDR,OLQDR,URBR
,BAGR,OLQVR,URYVR,URAVR,RIPR
,RMEL,BAGL,RIPL,URYVL,OLQVL
,BAGL,RIPL,URBL,OLQVL,URYVL
,IL1VR,OLQVR,URAVR,URYVR,IL2VR
OLQDL,OLQDL,URYDL,IL1DL,OLLL,OLQDR
,URAVL,URYVL,OLQVL,URBL,BAGL
OLQDR,OLQDR,OLQDL,IL1DL,IL1DR,RMED
,URYDR,OLQDR,IL1DR,URADR,OLLR
,IL1R,URYVR,URBR,RIPR,IL2R
,URYDL,RMEL,OLLL,OLQDL,RIPL
,URBR,OLLR,URYDR,IL2R,RIPR
,URBL,URYVL,RIPL,OLLL,IL1L
,IL2VR,IL1VR,IL1VL,URYVR,URAVR
,OLLR,URADR,URYDR,IL1DR,OLQDR
,IL1VL,URYVL,URAVL,IL1VR,OLQVL
,IL1R,URYVR,IL2VR,IL1VR,IL2R
IL1DR,IL1DR,IL1DL,URADR,IL2DR,URYDR
,OLLL,IL2L,IL1L,URBL,URYVL
,URADR,IL2DR,IL1DR,M4,URYDR
,URADL,OLLL,URYDL,IL1DL,IL1L
,IL1L,URYVL,IL2L,OLLL,M3L
,IL2R,OLLR,IL1R,IL2DR,URADR
IL1DL,IL1DL,URADL,IL2DL,URYDL,OLLL
,IL2DR,URADR,IL2R,IL1DR,OLLR
,M3L,IL2VL,M3R,IL1VL,URYVL
,M3R,IL2R,IL1R,OLLR,IL2VR
,IL2DL,URADL,OLLL,IL1DL,IL2L
,M4,IL2DL,IL1DL,URADL,I3
,IL2L,IL1L,NSML,OLLL,M3L
,IL2R,NSMR,M3R,IL2DR,OLLR
I3,MI,IL2DL,M4,I3,IL2DR
MCL,MCL,I2L,M3L,NSML,MCR
NSML,NSML,M3L,I2L,MCL,IL2VL
NSMR,NSMR,I2R,MCR,M3R,I1R
MI,MI,I3,M4,IL2DL,I1L
MCR,MCR,NSMR,I2R,I1R,MCL
I2L,I2L,MCL,NSML,M3L,I1L
I2R,NSMR,MCR,I2R,I1R,M3R
,I3,MI,I1L,I1R,MCR
,I2R,NSMR,MCR,I1R,I1L
,I1L,I1R,I2L,MCL,MI
,I1R,I1L,MI,MCR,I2R
