GT,Top1,Top2,Top3,Top4,Top5
,I1R,I2R,MCR,NSMR,M3R
,I1L,I2L,MCL,I1R,I3
,I1R,I2R,MCR,NSMR,I1L
,I2L,I1L,MCL,NSML,I1R
,NSMR,I2R,MCR,M3R,I1R
,NSML,I2L,MCL,M3L,I1L
,I3,IL2DR,M4,MI,IL2DL
M3L,IL2L,M3L,IL1L,IL2VL,OLLL
,IL1R,IL2R,NSMR,IL2VR,I2R
,URADL,IL1DL,IL2DL,URYDL,OLLL
IL1VL,IL1VL,IL1L,IL2VL,URYVL,URAVL
,URYDR,URADR,IL1DR,IL2DR,OLLR
IL2DR,URADR,IL2DR,IL1DR,URYDR,IL1DL
IL1DR,IL1DR,URYDR,URADR,IL1DL,IL2DR
OLLR,OLLR,IL2R,M3R,IL2DR,URADR
OLLL,OLLL,URYDL,IL2L,URBL,IL1L
IL1R,IL1R,IL2VR,IL2R,URYVR,RIPR
IL1DL,URYDL,IL1DL,URADL,OLLL,OLQDL
IL2R,IL2R,URBR,IL1R,RIPR,OLLR
IL1L,IL1L,IL2L,URBL,RIPL,URYVL
URYVL,URYVL,OLQVL,URBL,URAVL,IL1L
IL1VR,IL1VR,IL1VL,URAVL,OLQVL,IL2VR
URYVR,IL2VR,IL1VR,URYVR,URAVR,OLQVR
URBR,URBR,RMER,RIPR,URYVR,OLQVR
,RIPR,URYVR,URBR,URAVR,IL1R
URBL,RIPL,URBL,RMEL,IL1L,BAGL
URYDR,URYDR,RMER,RIPR,OLQDR,OLLR
OLQDL,OLQDL,URYDL,RMEL,IL1DL,URXL
OLQDR,OLQDR,URYDR,RMER,RMED,URXR
RMED,RMED,ALA,CEPDR,OLQDR,RID
RMEL,BAGL,RMEL,RIPL,URBL,SAAVL
OLQVR,OLQVR,CEPVR,URAVR,URYVR,BAGR
,RMEL,RMDVL,BAGL,SAAVL,URBL
,BAGR,RMER,RMDVR,SAAVR,OLQVR
,OLQVR,BAGR,RMER,CEPVR,URYVR
,RID,CEPDL,URXL,ALA,RIAL
OLQVL,OLQVL,CEPVL,URAVL,BAGL,URYVL
,CEPVR,BAGR,OLQVR,RIH,RMEV
,RMDVL,BAGL,AVAL,RMDL,AVEL
RMDVR,RMDVR,AVAR,RMDR,SAAVR,AFDR
,RMEV,RIH,CEPVL,SMDDL,SIBDL
RMDVL,RMDVL,AVAL,RIAL,RMDL,SMDVL
,AVEL,RMDL,SMDDL,SIBDL,SAADL
,AFDR,RMDVR,AVAR,AWCR,RMDR
SMDVR,SAAVR,AVAR,AFDR,SMDVR,RIAR
AVAR,AVAR,RMDR,RMDVR,AVER,AFDR
,RMDR,AWCR,AFDR,AVAR,ASHR
,SMDVR,CEPDR,RIAR,ASKR,SAAVR
AVER,AVER,RMDR,AVAR,SMDDR,AIBR
AVAL,AFDL,AVAL,AVEL,AWBL,AWCL
RIAR,ASKR,RIAR,SMDVR,ADLR,SAAVR
,SAADR,SAADL,SIBVR,RIH,SMDDL
CEPDL,ASKL,CEPDL,URXL,RIAL,SMDVL
URXR,URXR,ADLR,ASKR,URXL,CEPDR
,AVEL,AIBL,AWCL,AFDL,AWAL
,AIBL,AWCL,RMDL,AVEL,RMDDL
,RMDR,SMDDR,RMDDR,SIBDR,AIBR
URXL,ADLL,ASKL,URXL,RIVL,ASGL
,AWBR,ASGR,ADFR,AFDR,RIAR
,SMDDR,RMDDR,AIBR,SAADL,AWCR
,AWBL,ASGL,AWAL,AVHL,ADLL
ASGR,AWAR,ASGR,AWBR,ADLR,ASHR
,AWCR,ASHR,AIBR,SMBDR,RIBR
,SAADL,RMDDL,RMHR,RMFR,RMFL
,AWCL,ASHL,RIBL,AIBL,ASEL
ALA,RIVR,ADLR,ALA,RIVL,AVHR
,ASER,RIBR,AWCR,ASHR,AUAR
,AIYR,RMDDL,SMBDL,SMBDR,SIBVL
AVHL,RIVL,AVHL,ASGL,AVJL,AWBL
,ASEL,ASGL,AVBL,ASHL,AVHL
RMDDR,SMBDL,RMDDL,RMFR,RMFL,SMBDR
AVHR,AVHR,ASER,AVJR,AVDR,AINR
,ASIR,ASGR,AVJR,AVHR,RIVR
,AUAL,RIBL,ASJL,ASHL,RIML
,RIBR,RIMR,SMBDR,ASJR,SMBVR
,SMBVL,SMBDL,ASJL,RMFL,SMBDR
AVJL,AVJL,AVBL,ASIL,ASGL,AVHL
,AVDL,AINL,AVBL,ASEL,AVJL
AVJR,AVJR,AIZR,AVDR,AINR,AVBR
AVDR,AVDR,M2R,AIZR,AINR,RIBR
AVDL,AVDL,AINL,AVJL,AIZL,AVBL
,SMBVL,AIYL,RICL,SIAVL,ASJL
,RICR,AIZR,M2R,FLPR,AVDR
,I5,SMBVR,RICR,SIAVR,AIAL
,SMBVR,SIAVR,AIMR,AIAL,AVKR
,FLPR,RICR,M2R,ADER,AIZR
,AIMR,SIAVR,SMBVR,ASJR,AIAR
,RICR,I5,ADER,AIAR,FLPR
,AIYL,RICL,AIML,FLPL,AIAL
,I6,M1,I4,M5,RIVL
,AINR,M1,AVJR,AVDR,M2R
,SABVL,SABVR,RIS,VB2,AIML
,AINL,FLPL,ADEL,AIZL,M5
,VB2,AIML,RIS,I5,AIYL
,AQR,ADAR,ADER,RIS,SABVR
M1,ADAR,M1,ADER,M2R,RMGR
,FLPL,ADAL,ADEL,RMGL,RICL
,RIFL,RIS,VB2,AVFL,SABVL
,RIS,VB2,RIFL,RIFR,SABVL
,VA1,VB1,RIS,VB2,RIFR
,SABD,RIFR,AVG,VB1,VD1
,RMGL,ADAL,RIFL,VA1,VD1
,RMGR,ADAR,AVG,SABD,DD1
,VA1,RIFR,DB1,AVG,DD1
,AS1,DD1,AVG,DB1,VA1
AQR,SABD,AS1,DA1,VD2,DD1
,VB3,DD1,AS1,AVG,VD2
