GT,Top1,Top2,Top3,Top4,Top5
RMEL,RMEL,URYDL,RIPL,BAGL,URBL
RMER,RMER,RIPR,BAGR,URBR,URYDR
CEPVL,CEPVL,BAGL,OLQVL,URAVL,URYVL
CEPVR,CEPVR,CEPVL,BAGR,URAVR,RMEV
OLQVL,OLQVL,URYVL,URBL,RIPL,IL1L
OLQVR,OLQVR,BAGR,URYVR,URBR,URAVR
OLQDL,OLQDL,URYDL,IL1DL,OLQDR,RMED
OLQDR,OLQDR,URYDR,RIPR,IL1DR,OLLR
IL1DL,IL1DL,IL1DR,URYDL,URADL,URADR
IL1DR,IL1DR,URYDR,URADR,IL1R,OLLR
RMED,RMED,OLQDR,URYDR,IL1DR,URADR
URAVL,URAVL,URYVL,OLQVL,BAGL,URBL
IL2L,IL2L,OLLL,IL1L,URBL,URADL
IL2R,IL2R,IL1R,URBR,I2R,OLLR
OLLL,OLLL,URADL,IL1L,URYDL,IL1DL
OLLR,OLLR,IL1R,URADR,IL2R,URBR
IL2DL,IL2DL,I3,M4,MI,URADL
IL2DR,IL2DR,URADR,M4,I2R,IL2R
I3,I3,M4,MI,MCL,IL2DL
IL2VL,IL1L,IL1VL,IL2VL,URYVL,IL2L
IL2VR,IL2VR,IL1VR,URAVR,IL1VL,URYVR
IL1VL,NSML,IL1VL,IL2VL,M3L,IL1L
IL1VR,IL1VR,IL2VR,IL1VL,I2R,IL1R
I2L,I2L,MCL,NSML,I1L,M3L
I2R,MCR,MCL,I2R,NSMR,NSML
I1L,I1L,I1R,MCL,I2L,I2R
I1R,I1R,I1L,I2R,MCL,MCR
URADL,URADL,M4,IL1DL,OLLL,IL2DL
URYDL,URYDL,OLLL,IL1DL,URADL,OLQDL
M3L,M3L,IL1L,URYVL,IL2L,OLLL
M3R,M3R,IL2VR,IL1R,IL1VR,URYVR
BAGL,BAGL,RIPL,OLQVL,URBL,URAVL
RMDVL,RMDVL,SMDVL,AVAL,RIAL,SAAVL
AVAL,AVAL,RIAL,SAAVL,SMDVL,RMDVL
AVEL,AVEL,RMDL,AVAL,AFDL,AWCL
AFDL,AFDL,RIAL,ADFL,AWBL,AVAL
RMDVR,RMDVR,BAGR,AVAR,RMDR,AFDR
AVAR,AVAR,RMDR,AFDR,RMDVR,AVER
AVER,AVER,RMDR,AWCR,AVAR,SMDDR
RMDL,RMDL,AVAL,AVEL,AFDL,RMDVL
ALA,ALA,CEPDR,URXR,RMED,RID
CEPDL,CEPDL,ALA,URXL,CEPDR,RID
URXL,URXR,URXL,CEPDR,ALA,RID
URXR,URXR,CEPDR,RIAR,SMDVR,ASKR
SAAVL,SAAVL,RIAL,CEPDL,SMDVL,URXL
SAAVR,SAAVR,SMDVR,RMDVR,BAGR,RIAR
RMDDL,AWCL,RMDDL,AIBL,AUAL,RMDL
RMDDR,RMDDR,SAADL,SMDDR,RMFR,RMDDL
AIBL,AIBL,AWCL,ASHL,RIBL,RMDDL
AIBR,AIBR,SMDDR,SIBDR,AWCR,RIR
AUAL,AVDL,AUAL,ASEL,ASHL,RIBL
AWBL,AWBL,ASGL,ADFL,ADLL,RIAL
AWAL,AWAL,ASGL,AWBL,ADLL,AVHL
ASHL,ASGL,ASHL,AWBL,ASEL,AWAL
RIMR,RIMR,RIBR,ASJR,AIZR,AVDR
AVDL,AINL,AVDL,I6,AVJL,AIZL
ASEL,ASEL,AVJL,AVHL,AVBL,ASGL
AVDR,AVDR,AIZR,AINR,RICR,RIBR
AIZL,AIZL,M2L,RICL,FLPL,I6
AINR,AINR,AVDR,AVJR,AIZR,M2R
AINL,I6,ASIL,I4,AVJL,RIVL
RICR,RICR,AIZR,I5,M2R,AIMR
FLPL,ADEL,ADAL,FLPL,RMGL,AVKL
RIGR,RIGL,DD1,AVG,VD1,RIGR
RIGR,VD2,VB3,DA1,DD1,VA2
VD2,VB3,VD2,VA2,DD1,DA1
URYVL,URYVL,IL1L,OLLL,URBL,RIPL
URYVR,URYVR,IL1R,URBR,URAVR,RIPR
,URBL,RIPL,OLLL,BAGL,IL1L
,CEPVL,OLQVL,RMEV,BAGL,URAVL
,SMDVL,URXL,CEPDL,RIAL,ASKL
,ASKL,URXL,ADLL,RIAL,ALA
,ASKL,ADLL,ADLR,URXL,ASKR
,AWBR,ADLR,AWAR,ASKR,RIAR
,ADLL,ASIL,ADLR,RIVL,ASIR
,AVHL,ASGL,AWBL,RIVL,ASIL
,RIVL,RIVR,AVHL,I4,ASIL
,AVJR,RIVR,AVHR,ASER,ASGR
,AVJL,ASEL,AVBL,AVHL,RIVL
,AWCL,AWBL,AFDL,ASHL,ADFL
,ASGR,ASER,AWBR,AWAR,ASHR
,SMDVR,RIAR,SAAVR,AFDR,RMDVR
,RIAL,SMDVL,URXL,ASKL,CEPDL
,RMDR,AWCR,AVER,AVAR,SIBDR
AUAR,SAADL,SIBDL,SAADR,RMDDL,AIBL
,RMDDL,RIR,SAADL,RMFR,AIBL
,SMBDR,RIMR,ASJR,ASJL,SMBVL
,RICL,AIZL,ASJL,SMBVL,RIBL
,SMBVR,SMBVL,AIAL,SIAVR,AIMR
,RICL,AIZL,FLPL,ASJL,SMBVL
,RICL,FLPL,AIML,AIZL,SIAVL
,I5,AIMR,AVKR,SIAVR,SMBVR
,ASHR,AWCR,AWAR,ASER,AWBR
,SMBDL,SMBDR,SMBVL,RMFL,RIBL
,RIBR,AUAR,ASJR,RIMR,AWCR
,SMBVL,SMBDL,ASJL,AUAL,RIBL
,AUAL,AWCL,ASHL,RMDDL,RIML
,RMFR,RMFL,SMBDR,RMHR,SMBDL
,RMFL,RMFR,SMBDR,SMBDL,SAADL
,FLPR,I5,AQR,RICR,ADER
,FLPL,ADEL,RICL,AIZL,ADAL
,ADER,ADAR,AQR,FLPR,AIZR
,ADAR,AQR,ADER,RMGR,I5
,SABVR,AIML,VB2,AIMR,I5
,VB2,AIML,RIS,SABVL,AVKL
