GT,Top1,Top2,Top3,Top4,Top5
CEPVL,CEPVL,URAVL,BAGL,OLQVL,URYVL
CEPVR,CEPVR,BAGR,OLQVR,URAVR,CEPVL
RMEV,RMEV,CEPVL,RIH,URAVL,SAADR
RMEL,RMEL,BAGL,URBL,RIPL,URYVL
RMER,RMER,BAGR,RIPR,URYDR,URBR
BAGL,URAVR,RIPR,BAGR,URAVL,CEPVL
RMED,RMED,OLQDL,URYDR,OLQDR,URYDL
OLQDL,OLQDL,URYDL,OLLL,IL1DL,URADL
OLQDR,OLQDR,URYDR,OLLR,RIPR,URADR
OLQVL,OLQVL,URAVL,URYVL,URBL,BAGL
OLQVR,OLQVR,URYVR,BAGR,URBR,RIPR
IL1DL,IL1DL,URYDL,URADL,OLQDL,OLLL
IL1DR,IL1DR,URYDR,URADR,IL2DR,IL1DL
IL1VL,IL1VL,URAVL,IL1VR,URYVL,IL2VL
IL1VR,IL1VR,URYVR,IL2VR,URAVR,IL1R
URYVL,URYVL,URAVL,RMEL,URBL,IL1L
URYVR,URYVR,URBR,IL1R,RIPR,BAGR
URAVL,URAVL,IL1L,URYVL,URBL,OLLL
OLLL,OLLL,URYDL,URADL,IL1L,URBL
OLLR,OLLR,IL2R,URADR,URYDR,URBR
IL2L,IL2L,IL1L,OLLL,URBL,NSML
IL2DL,IL2DL,M4,URADL,I3,MI
IL2DR,IL2DR,M4,I3,MI,URADR
IL2VL,IL2VL,NSML,IL1VL,IL1L,URAVL
IL2VR,IL2VR,IL1VR,IL1R,URYVR,URAVR
M3L,M3L,NSML,MCL,I2L,M3R
I3,I3,MI,M4,MCL,IL2DR
RMDVL,RMDVL,AVAL,BAGL,SAAVL,SMDVL
AVAL,AVAL,RIAL,AVEL,SAAVL,RMDVL
AVEL,AVEL,RMDL,AVAL,AFDL,RMDVL
RMDL,RMDL,AVEL,AVAL,RMDVL,CEPVL
ALA,ALA,ASKL,URXL,RIAL,ASKR
URXL,URXL,ASKL,SMDVL,CEPDL,RIAL
URXR,URXR,CEPDR,URXL,RID,ASKR
CEPDL,CEPDL,SMDVL,URXL,RIAL,SAAVL
CEPDR,CEPDR,URXR,RID,RIAR,SMDVR
SAAVL,SAAVL,RIAL,SMDVL,BAGL,AVAL
RMDVR,RMDVR,SMDVR,SAAVR,AVAR,RIAR
AVAR,AFDR,AVAR,SMDVR,SAAVR,AVER
AVER,AVER,AVAR,RMDR,AFDR,RMDVR
RMDR,AWCR,RMDR,AVAR,AVER,AFDR
RMDDL,RMDDL,SMDDL,SAADL,SIBDL,AIBL
RMDDR,RMDDR,RMDR,AIBR,SMDDR,SIBDR
AFDL,AFDL,ADFL,AWBL,AVAL,AVEL
AUAL,AUAL,ASHL,AWCL,RIBL,RMDDL
RIML,RIBL,ASJL,AVDL,AVBL,AIZL
RIMR,RIBR,AVDR,ASJR,FLPR,AIZR
AVDL,AVDL,AINL,AVBL,AVJL,RIBL
ASEL,ASEL,AVJL,AVBL,RIBL,ASHL
AVJL,AVJL,RIVL,AVHL,ASIL,AINL
AWBL,AWBL,ADFL,RIAL,ASGL,SMDVL
AWAL,AWAL,ASHL,AWBL,ASGL,ASEL
AIBL,AIBL,ASHL,RMDDL,SIBDL,AWCL
AUAR,AVBR,AUAR,ASHR,RIBR,AWCR
AINL,AINL,AVJL,AVDL,I6,AVBL
AIZL,AIZL,RICL,ASJL,M2L,FLPL
FLPL,FLPL,ADEL,ADAL,RICL,RMGL
ADEL,ADEL,ADAL,FLPL,RMGL,RIFL
ADAL,ADAL,ADEL,RMGL,AVFL,RIGL
DD1,AVG,DD1,DB1,VD1,RIGL
,URYDL,RMEL,OLLL,URADL,RIPL
M3R,M3R,I2R,IL2R,NSMR,IL1R
,URADL,URYDL,OLLL,IL1DL,M4
,IL1L,URBL,RIPL,OLLL,IL2L
,RIAL,SMDVL,SAAVL,ASKL,URXL
,SMDVR,RIAR,SAAVR,ASKR,AFDR
,ASGL,AWBL,AVHL,RIVL,ASIL
,ASGR,RIVR,ASIR,AVHR,ADLR
,AVHL,RIVL,ASIL,AVJL,ASGL
,RIVL,RIVR,I4,AVHL,ASIL
,AVJR,RIVR,AINR,AVHR,ASIR
,AINR,AVJR,AVDR,M2R,RIVR
,AVDR,AINR,AVJR,ASER,M2R
,AIZR,RICR,M2R,FLPR,AVDR
,AWCL,ASHL,AWBL,AIBL,SIBDL
,SMBVL,SMBDL,ASJL,AIYL,RIML
,SMBDL,SMBVL,RMFL,RMFR,RMHL
,SMBDR,RIMR,RMHR,RMFR,AIYR
,RIMR,SMBDR,RMDDR,RMFR,RMHR
,RMFL,RMFR,SMBDR,RMHR,SMBDL
,RMDDL,SAADL,RMFR,RMFL,SMDDL
,SAADR,SIBVR,SAADL,SMDDR,RMHR
,SAADL,RMFR,RMDDL,SAADR,RIR
,AIBR,ASHR,AWAR,AWCR,SIBDR
,ASHL,AVBL,RIBL,AWAL,SIBDL
,M1,I6,I4,M2R,ADAR
,RICL,AIZL,FLPL,M2L,ADEL
,AIML,SIAVR,SIAVL,RICL,VB2
,VB2,AIML,RIS,AIMR,I5
,FLPR,AQR,ADER,I5,AVKR
,ADAR,AQR,AVFR,VB2,AVFL
,ADAR,ADER,AQR,FLPR,RMGR
,ADAR,AQR,RIFR,SABD,AVG
,AIML,VB2,RIS,AIAL,I5
,RIS,VB2,AVFL,SABVL,RIFL
,RIFL,SABVL,RIS,RIFR,VB2
,VB1,VB2,VA1,RIFL,RIGL
,VA1,RIFR,RIFL,VB1,AVFL
,RIGL,VD1,DD1,VB1,AVG
,SMBVR,ASJR,AIMR,SIAVR,RICR
,DD1,VD2,VD1,AVG,RIGL
,SABD,DA1,AS1,AVG,DB1
,DA1,AS1,DD1,VD2,AVG
,VD2,DD1,VB3,VA2,DA1
,VA2,VB3,VD2,DA1,AS1
,AS1,DD1,AVG,DB1,DA1
VD2,VB3,VA2,VD2,DA1,DD1
,ADAR,AVG,RMGR,SABD,RIFR
,RICR,FLPR,AIZR,I5,M2R
I2L,I2L,MCL,I1L,NSML,I1R
I2R,MCR,I2R,NSMR,MCL,I1R
I1L,I1R,I1L,I2R,MCL,MCR
,AWBR,ASER,ASGR,AVHR,AWAR
,ADLL,ASKL,RIVL,ASGL,ASIL
,AQR,ADAR,SABVR,RIS,VB2
