GT,Top1,Top2,Top3,Top4,Top5
I1L,I1L,I1R,I2L,MCR,MCL
URYVL,URYVL,BAGL,URAVL,OLQVL,URBL
M3L,M3L,IL2VL,M3R,NSML,I2L
M3R,M3R,NSMR,I2R,IL2DR,IL2VR
I2R,I2R,MCR,I1R,NSMR,I1L
I2L,I2L,I1L,MCL,NSML,I1R
NSML,NSML,I2L,MCL,I1L,M3L
NSMR,NSMR,MCR,I2R,I1R,M3R
MCR,MCR,I1R,I2R,NSMR,MCL
MCL,MCL,MCR,I2L,NSML,I1L
I3,I3,IL2DR,MI,M4,IL2DL
MI,MI,I3,I1R,MCR,I1L
M4,M4,IL2DR,URADR,I3,M3R
IL2DR,MI,I3,IL2DR,I1R,MCR
IL2DL,IL2DL,I3,URADL,IL2L,OLLL
OLQDL,OLQDL,RMED,URYDL,OLQDR,RMEL
OLQDR,OLQDR,RMED,IL1DR,URYDR,RIPR
URYDL,URYDL,OLLL,RMEL,IL1DL,RIPL
URYDR,URYDR,RIPR,OLLR,IL1DR,RMER
IL1DR,IL1DL,IL1DR,URYDL,OLQDL,URADL
OLLL,OLLL,URYDL,URADL,URYVL,IL1L
OLLR,OLLR,URADR,IL1DR,URYDR,RIPR
URBR,URBR,RIPR,IL2R,OLLR,IL1R
URBL,URBL,BAGL,OLQVL,RIPL,RMEL
RMER,RMER,BAGR,RIPR,URYVR,URBR
RMEL,RMEL,SAAVL,BAGL,RMDVL,RIPL
IL2L,IL2L,IL1L,OLLL,URBL,URYVL
IL2R,IL2R,IL2DR,IL1R,OLLR,URADR
IL1R,IL1R,IL2R,RIPR,URYVR,OLLR
IL1L,IL1L,URYVL,RIPL,BAGL,URBL
URADL,URADL,OLLL,IL1DL,URYDL,IL1L
OLQVR,OLQVR,URYVR,RIPR,CEPVR,BAGR
OLQVL,OLQVL,URAVL,IL1VL,URYVL,IL1VR
IL1VR,IL2VR,IL1VR,I2R,M3R,NSMR
CEPVL,CEPVL,OLQVL,URAVL,BAGL,CEPVR
CEPVR,BAGR,CEPVR,OLQVR,URAVR,RIH
CEPDR,CEPDR,URXR,RIAR,SMDVR,ASKR
CEPDL,CEPDL,SMDVL,RIAL,URXL,ASKL
ALA,URXL,CEPDL,ALA,URXR,RIAL
URXL,ALA,RID,URXL,ASKL,ADLR
SMDVL,SMDVL,ASKL,AWBL,RIAL,CEPDL
SMDVR,ASKR,SMDVR,RIAR,AWBR,SAAVR
RIVL,RIVL,AWBL,ADLL,ASGL,RIAL
RIVR,RIVR,M1,AVJR,AVHR,AINR
ASGR,ASGR,AWBR,ADLR,ASIR,AWAR
AWAL,AWAL,AVAL,AWBL,AFDL,AVEL
RIAL,RIAL,SAAVL,AVAL,SMDVL,ADFL
RIAR,RIAR,SAAVR,SMDVR,CEPDR,URXR
SAAVL,SAAVL,RMDVL,AVAL,RIAL,AVEL
RMDVR,RMDVR,SAAVR,SMDVR,AVAR,RIAR
AVAR,AVAR,AFDR,RMDVR,SAAVR,RMDR
AVAL,RMDL,AVEL,RMDVL,AVAL,AFDL
AVDL,ASGL,AWBL,AWAL,ASIL,ASKL
AVJL,AWBL,AVJL,ASEL,ASGL,AVBL
AVJR,AVJR,AINR,AVDR,AVBR,AVHR
AINL,AINL,AVDL,AVJL,AVBL,ASEL
AVHR,AVJL,AVHL,ASEL,RIVL,ASGL
ASEL,ASEL,AVJL,AWCL,AVBL,ASHL
ASER,ASER,AWBR,ASGR,AVHR,AVJR
AWBL,AWCL,AWBL,ASHL,ASEL,AFDL
AIZL,RIBL,AVBL,AIZL,ASJL,RIML
AIZR,RIBR,ASJR,AIZR,AUAR,RIMR
AUAR,AUAR,RIBR,AWCR,AVBR,ASHR
AUAL,AUAL,AIZL,AWCL,ASHL,RIBL
AIBL,RMDDL,AIBL,AWCL,SAADL,ASHL
AIBR,AIBR,AWCR,AVER,SIBDR,RMDR
AWCR,ASHR,AWCR,ASER,SIBDR,AIBR
I6,I6,AINL,AIZL,M5,FLPL
M5,M5,RMGL,ADAL,ADEL,I6
ADEL,ADAL,VA1,ADEL,VB1,DB1
FLPL,FLPL,ADEL,ADAL,RMGL,VA1
ADAL,DD1,VB3,DB1,AVG,ADAL
RICR,RICR,ASJR,AIZR,FLPR,I5
RICL,RICL,AIZL,ADEL,FLPL,AVKL
RMDDL,SMBDL,SMBVL,RIML,AIAL,RMDDL
RMDDR,RIS,AIMR,AIAR,AQR,ADAR
AIM,VB2,AIML,RIS,AIYL,AIAL
