GT,Top1,Top2,Top3,Top4,Top5
AMSOR,I1L,I1R,MI,I2R,MCR
AMSOL,I1L,I1R,I2L,MCL,MI
I1R,I1L,I1R,I2R,MCR,NSMR
I1L,I1R,I1L,I2L,MCR,MCL
URAVL,MCR,I2R,I1L,I2L,I1R
IL2DR,MI,I3,I1L,I1R,IL2DR
IL2DL,I3,MI,IL2DL,I1L,I2L
MI,I3,MI,MCR,I1L,MCL
I2L,I2L,NSML,M3L,MCL,IL2VL
I2R,I2R,MCR,NSMR,I1R,M3R
MCL,MCL,NSML,M3L,I2L,MCR
NSML,NSML,M3L,I2L,IL2VL,MCL
MCR,MCR,NSMR,I2R,M3R,I1R
NSMR,NSMR,I2R,MCR,IL2R,M3R
OLQVL,M3L,IL2L,NSML,I2L,IL1L
I3,IL2DL,I3,MI,IL2DR,M4
IL2L,IL2L,IL1L,OLLL,URBL,M3L
IL2R,IL2DR,IL2R,NSMR,IL1R,I2R
IL1VL,IL1VR,IL1VL,IL2VR,IL2VL,M3L
M4,M4,URADL,IL2DL,IL1DL,IL2DR
M3L,IL2VL,IL1VL,M3L,IL1L,URYVL
M3R,M3R,IL2R,IL1R,NSMR,OLLR
IL2VR,IL2VR,IL1R,URYVR,IL2R,NSMR
URBL,IL1L,IL2L,URBL,OLLL,URYVL
IL1R,IL2R,IL1R,IL2DR,OLLR,NSMR
IL2VL,IL1VR,IL1VL,IL2VR,URAVL,URAVR
URADL,URADL,URYDL,OLLL,IL1DL,IL1L
URYVL,URYVL,URAVL,IL1L,IL1VL,OLQVL
IL1L,IL1L,URBL,RIPL,URYVL,OLLL
URADR,URADR,IL1DR,OLLR,URYDR,IL2DR
IL1VR,IL1R,URYVR,IL1VR,IL2VR,URAVR
IL1DL,IL1DL,URYDL,URADL,OLLL,IL2DL
OLLL,OLLL,URBL,URYDL,IL1L,RIPL
OLLR,OLLR,URYDR,IL1DR,URBR,IL2R
URYVR,URYVR,IL1R,URBR,IL2R,RIPR
URBR,IL2R,URBR,IL1R,OLLR,URYDR
IL1DR,IL1DR,IL1DL,URYDR,OLQDL,URADR
URYDL,URYDL,IL1DL,OLQDL,OLLL,RIPL
URYDR,URYDR,IL1DR,URADR,OLQDR,IL1DL
,IL1DL,OLQDL,URYDL,OLLL,RIPL
RIPR,RIPR,URBR,URYDR,IL1R,RMER
RIPL,BAGL,RIPL,URBL,OLQVL,URYVL
BAGL,OLQVL,URAVL,BAGL,CEPVL,URYVL
RMEL,RMEL,BAGL,RIPL,URBL,URYVL
RMER,RMER,URYDR,RIPR,URBR,IL1DR
OLQVR,OLQVR,BAGR,URYVR,URBR,RMER
OLQDR,OLQDR,OLQDL,IL1DR,RMED,URYDR
OLQDL,OLQDL,URYDL,RMEL,IL1DL,RIPL
BAGR,BAGR,RMER,URBR,RIPR,URYVR
CEPVL,CEPVR,URAVL,CEPVL,URAVR,BAGR
SIADL,CEPVL,URAVL,OLQVL,RMEV,CEPVR
URAVR,URAVR,CEPVR,BAGR,URYVR,RMER
RMED,RMED,OLQDL,URYDL,IL1DL,OLQDR
CEPVR,CEPVR,BAGR,RMDVR,AVAR,OLQVR
RMEV,RMEV,CEPVR,RIH,CEPVL,SAADR
RMDVL,RMDVL,AVAL,RMDL,AVEL,BAGL
RIR,RMDR,CEPVR,AVER,AVAR,SIBDR
AVAL,AVAL,AVEL,RMDVL,RMDL,SAAVL
RMDVR,RMDVR,SAAVR,SMDVR,AVAR,RIAR
RID,RID,CEPDL,URXL,ALA,URXR
AVEL,AVEL,RMDL,AVAL,AFDL,AWCL
RMDL,RMDL,AVEL,RMDDL,SAADL,SMDDL
AVAR,SAAVR,SMDVR,RMDVR,RIAR,AVAR
SIBVL,SAADL,SAADR,SIBVR,SMDDL,RIH
SAADL,SAADR,RIH,SAADL,AVER,RMDR
SAAVR,SAAVR,SMDVR,CEPDR,URXR,RIAR
SAAVL,SAAVL,RIAL,SMDVL,AVAL,CEPDL
URXL,CEPDL,URXL,RIAL,SAAVL,ASKL
RIAL,RIAL,SMDVL,SAAVL,AVAL,AFDL
AFDL,AFDL,AVEL,RMDL,AWCL,AIBL
RMDR,AVAR,RMDR,RMDVR,AVER,AFDR
RIH,SAADR,SIBVR,SAADL,SMDDR,RMDDR
SIBDL,SIBDL,AIBL,RMDDL,SAADL,AWCL
RIAR,RIAR,CEPDR,URXR,SMDVR,SAAVR
SMDVL,SMDVL,RIAL,ASKL,SAAVL,AWBL
URXR,URXR,URXL,CEPDR,ALA,RID
AFDR,AFDR,SAAVR,SMDVR,RIAR,AVAR
CEPDL,CEPDL,SMDVL,URXL,ASKL,RIAL
AVER,AVER,AVAR,RMDR,AFDR,SAAVR
RMHL,SIBVR,RMHR,SAADL,RIR,SMDDR
AWBL,AWCL,AFDL,AWBL,RMDL,ASHL
AWCL,AIBL,AWCL,SIBDL,RMDDL,ASHL
ADFL,ADFL,AFDL,AWBL,RIAL,ASGL
CEPDR,CEPDR,RID,URXR,ALA,URXL
SAADR,SIBDR,AWCR,SMDDR,RMDR,RMDDR
SMDVR,URXR,CEPDR,ASKR,SMDVR,RIAR
HMC,URXL,ASKL,CEPDL,RIAL,ADLL
ADFR,ADFR,SMDVR,RIAR,AWBR,SAAVR
ASEL,AWCL,ASEL,ASHL,AWBL,AFDL
ASKL,ASKL,ADLL,RIAL,SMDVL,ASGL
ASKR,ASKR,URXR,ADLR,CEPDR,ALA
SIBDR,AWCR,ASHR,SIBDR,RMDR,AIBR
AIBL,RMDDL,AIBL,AUAL,AWCL,RIBL
ASGL,AWBL,ASGL,AVHL,AWAL,ADLL
ASHL,ASHL,AWCL,AIBL,RIBL,AUAL
AWBR,AWBR,AWAR,ASHR,AFDR,ASGR
ALA,ALA,URXL,CEPDL,ASKL,ADLL
SMBVR,SMBDR,RMDDR,RMFR,RMHR,SAADL
RMFR,RMFL,RMFR,SMBDL,SMBDR,RMHR
RMFL,SMBDR,RMFR,RMDDR,RMHR,RMFL
AWAL,AWAL,ASHL,ASEL,ASGL,AWBL
AIBR,AIBR,ASHR,AWCR,AWAR,SIBDR
AUAL,SMBDL,RMHL,AUAL,RMDDL,SMBVL
AWAR,AWAR,AWBR,ASKR,ADLR,SMDVR
ADLL,ADLL,ASGL,RIVL,ASIL,AWBL
AVHL,ASEL,AVJL,ASGL,AVHL,AWBL
SMBDL,SMBVL,SMBDL,RMFL,SMBVR,AIAL
SIADR,SMBDR,RIBR,RIMR,ASJR,AUAR
SIBVR,RIMR,ASJR,SMBDR,RMHR,AUAR
AVBL,RIBL,AUAL,AVBL,ASJL,ASEL
ADLR,ADLR,ASKR,ASIR,ADLL,AWAR
ASHR,RIBR,ASHR,AVBR,AWCR,AWAR
ASIL,AVHL,AVBL,ASGL,AVJL,ASIL
AVJL,AVJL,ASEL,AVDL,AVBL,ASHL
AWCR,ASHR,AWCR,AUAR,RIBR,AVBR
ASER,ASER,AWBR,ASHR,AVBR,ASGR
RMDDL,AIAL,RIMR,SMBDR,SMBDL,AIAR
ASJL,ASJL,RIBL,AUAL,SMBDL,SMBVL
ASGR,ASGR,AWBR,AWAR,ADLR,ASIR
AVL,ASJR,RIMR,AUAR,RIBR,SMBDR
AVDL,AINL,AVDL,AIZL,AUAL,AVBL
RIVL,AINL,AVJL,ASEL,AVDL,AVBL
ASIR,ASIR,ADLR,RIVR,ASKR,ASGR
RIBL,AIZL,RICL,AUAL,ASJL,RIBL
AUAR,AIZR,RICR,ASJR,AUAR,RIBR
RIBR,AVDR,RIBR,M2R,AIZR,AINR
SIAVL,SMBVR,SIAVR,RICR,ASJR,AIMR
AINL,AINL,AIZL,AVDL,RICL,FLPL
AVHR,AVHR,AVJR,ASER,AINR,AWBR
RIVR,RIVR,ADLR,ASIR,AVHR,M1
AIZL,FLPL,RICL,AIZL,ADEL,AUAL
RIFL,AIAR,I5,AIAL,SMBVR,SIAVR
ASJR,RICR,ASJR,I5,AIZR,FLPR
AIML,AIMR,SMBVR,SIAVR,AIAL,AIAR
AVJR,AVJR,AVDR,AINR,AVBR,ASER
RICL,RICL,FLPL,ADEL,AIZL,AIML
,I5,SIAVR,SMBVR,AIAR,AVKR
AVBR,I5,RICR,FLPR,M2R,AIZR
I4,I4,I6,RIVL,ASIL,AINL
M2R,I4,M2R,M1,AINR,ASIR
M2L,M2L,AIZL,FLPL,RICL,I6
AINR,AINR,AVDR,AVJR,FLPR,M2R
SMBVL,VB2,AIML,RIS,SABVL,AVFL
M1,M1,RIVL,I4,I6,RIVR
