GT,Top1,Top2,Top3,Top4,Top5
,VB3,VA2,VD2,AS1,DA1
,VB3,VA2,VD2,DA1,DD1
,VB3,VA2,VD2,DA1,AS1
,VA2,VD2,VB3,DA1,AS1
,VD2,VA2,DA1,DD1,VB3
,VA2,VD2,AS1,DA1,DD1
,AS1,SABD,VD2,DA1,VA2
,DA1,AS1,SABD,DD1,VD2
,DB1,SABD,DA1,VD2,DD1
,SABD,AS1,DD1,AVG,DB1
,DD1,RIGL,DB1,AVG,SABD
,RIGL,SABD,DB1,VA1,DD1
,AVG,SABD,DD1,DB1,RIGL
,AVG,RIGL,DD1,RIFR,VA1
,VD1,RIGL,DD1,VB1,AVG
,VA1,RIFR,VB1,DB1,DB2
,VB1,VA1,RIFR,RIGL,RIFL
,RMGL,ADAL,RIFL,VA1,RIGL
RMGR,RMGR,ADAR,AQR,RIFR,ADER
,ADAL,RMGL,ADEL,FLPL,RIFL
,ADAR,RMGR,AQR,ADER,RIFR
,ADEL,ADAL,FLPL,RMGL,AVFL
,RIFL,RIS,VA1,VB1,RIFR
,M5,FLPL,ADEL,ADAL,I6
M5,I6,M5,FLPL,ADEL,AINL
,RIS,RIFR,AQR,VB2,AVFR
,ADEL,FLPL,ADAL,RICL,M5
ADER,ADER,AQR,ADAR,FLPR,RMGR
,RIFL,AVFL,RIS,SABVL,VB2
,FLPL,ADEL,RICL,ADAL,AIZL
,AINL,FLPL,AIZL,AVJL,I6
,SABVL,RIFL,VB2,AVFL,RIS
AQR,FLPR,AQR,ADER,RICR,ADAR
,RIS,VB2,SABVL,AIML,SABVR
,AQR,ADER,FLPR,RICR,ADAR
I6,I6,ASIL,RIVL,I4,AVJL
,AIZL,RICL,FLPL,AVDL,M2L
M1,RIVR,M1,ASIR,I4,AVHR
,AIMR,VB2,AVKR,AQR,SIAVR
RIVR,AVHR,RIVR,AVJR,AINR,ASIR
FLPR,FLPR,AVDR,AIZR,AINR,RICR
AINR,AINR,AVDR,FLPR,AIZR,AVJR
,VB2,AIML,AIMR,SABVR,AVKR
,AVDL,AVJL,AINL,AIZL,ASEL
,M2R,I5,RICR,M2L,AIZR
,AIYL,AIML,SABVL,VB2,SABVR
,I4,RIVL,ASIL,ADLL,RIVR
,FLPR,RICR,I5,AIMR,AIZR
