GT,Top1,Top2,Top3,Top4,Top5
I1L,I1L,I1R,I2L,MCL,MCR
I1R,I1R,I1L,I2R,MCR,I2L
I2L,I2L,NSML,MCL,I1L,M3L
I2R,I2R,MCR,I1R,NSMR,I1L
MI,MI,I3,MCR,MCL,M4
MCL,MCL,NSML,I2L,MCR,I1L
MCR,MCR,I2R,NSMR,I1R,MCL
NSMR,MCR,I2R,NSMR,I1R,M3R
NSML,NSML,I2L,MCL,M3L,I1L
I3,I3,MI,IL2DR,MCR,M4
M4,M4,I3,IL2DR,MCR,URADR
IL2DL,IL2DL,URADL,IL1DL,OLLL,I3
M3L,M3L,NSML,I2L,MCL,IL1L
IL2VL,IL2VL,NSML,I2L,IL1VL,MCL
M3R,M3R,NSMR,I2R,MCR,IL2VR
IL2VR,NSMR,M3R,IL2VR,I2R,MCR
URADL,URADL,IL1DL,OLLL,URYDL,IL2DL
IL1VL,IL1VL,IL2VL,M3L,NSML,URYVL
IL2DR,IL2DR,URADR,IL1DR,URYDR,OLLR
IL1R,IL1R,M3R,NSMR,IL2R,I2R
IL2L,IL2L,IL1L,OLLL,URBL,URYVL
IL1DL,IL1DL,IL1DR,URYDL,URADL,IL2DL
OLLL,OLLL,URYDL,URADL,IL2L,URBL
IL1DR,IL1DR,URADR,IL2DR,URYDR,OLLR
IL2R,IL2R,IL1R,URBR,OLLR,RIPR
URYVR,IL1R,URYVR,M3R,IL2VR,IL1VR
IL1VR,IL1VR,IL1VL,M3R,IL2VR,URAVL
IL1L,IL1L,IL2L,URYVL,URBL,RIPL
URYDL,URYDL,OLQDL,IL1DL,OLLL,URADL
URYVL,URYVL,URAVL,IL1L,OLQVL,URBL
URADR,URADR,IL1DR,URYDR,OLQDR,OLLR
OLLR,OLLR,URBR,IL2R,URYDR,IL1R
URAVL,URAVL,IL1VL,URYVL,IL1VR,OLQVL
URBR,URBR,IL1R,IL2R,URYVR,OLLR
OLQVR,IL2VR,URYVR,OLQVR,M3R,IL1VR
RIPL,RIPL,URBL,URYVL,IL1L,RMEL
OLQDL,OLQDL,URYDL,OLQDR,IL1DR,IL1DL
OLQDR,OLQDR,URYDR,IL1DR,OLLR,URADR
URBL,URBL,RIPL,RMEL,OLQVL,URYVL
OLQVL,OLQVL,URYVL,URAVL,IL1VL,URBL
RIPR,RIPR,URBR,IL1R,URYVR,BAGR
URYDR,URYDR,OLQDR,IL1DR,URADR,RMER
RMEL,RMEL,URYDL,URBL,RIPL,OLQDL
URAVR,URAVR,URYVR,URAVL,OLQVR,IL1VR
RMED,RMED,OLQDR,IL1DR,URYDR,URADR
CEPVL,CEPVL,URAVL,OLQVL,URYVL,IL1VL
RMER,RMER,BAGR,URYVR,OLQVR,URBR
BAGL,BAGL,OLQVL,URBL,RIPL,URYVL
BAGR,OLQVR,BAGR,CEPVR,URAVR,URYVR
CEPVR,CEPVL,CEPVR,URAVL,OLQVL,OLQVR
RIH,CEPVR,OLQVL,URAVL,RMEV,CEPVL
RID,RID,ALA,URXL,URXR,CEPDL
RMDVL,RMDVL,AVAL,SMDVL,SAAVL,RIAL
SAAVL,SAAVL,RIAL,SMDVL,AVAL,RMDVL
SIADL,CEPVL,RMEV,RIH,OLQVL,RMDL
SAAVR,SAAVR,RMDVR,SMDVR,RIAR,AVAR
ALA,ALA,URXR,CEPDR,RID,URXL
AVAL,AVAL,RMDVL,AVEL,SMDVL,RIAL
URXL,URXL,CEPDL,ASKL,SMDVL,RIAL
RIAL,SMDVL,RIAL,ASKL,SAAVL,CEPDL
RMDVR,RMDVR,BAGR,CEPVR,AVAR,OLQVR
RMEV,RMEV,RIH,CEPVR,SAADR,CEPVL
RIAR,RIAR,SMDVR,SAAVR,ASKR,CEPDR
AVAR,AVAR,RMDVR,SAAVR,AVER,AFDR
RMDL,AVEL,RMDL,AVAL,AFDL,RIAL
ADFL,ADFL,RIAL,SMDVL,ASKL,AWBL
AVEL,AVEL,RIAL,AVAL,RMDL,AFDL
CEPDL,CEPDL,ASKL,ADLL,URXL,SMDVL
AFDL,AFDL,AVAL,AVEL,RMDL,AWBL
URXR,URXR,ASKR,ADLR,CEPDR,SMDVR
CEPDR,CEPDR,ASKR,URXR,SMDVR,RIAR
ASKL,ADLL,ASKL,RIAL,URXL,RIVL
AFDR,AVAR,RMDR,AVER,AFDR,RMDVR
ASKR,ASKR,SMDVR,RIAR,CEPDR,URXR
SMDVR,SMDVR,RIAR,AWBR,SAAVR,ASKR
ADFR,AVAR,AFDR,RIAR,ADFR,AVER
SMDVL,ADLL,RIVL,ASKL,SMDVL,AWBL
SIBDL,SIBDL,AVEL,RMDL,AFDL,AIBL
RMDR,RMDR,AVER,AVAR,SIBDR,SMDDR
AWAL,AWBL,ASGL,AWAL,AFDL,ADFL
ADLR,AWBR,ADFR,SMDVR,RIAR,ASKR
AWBL,AFDL,ASGL,AWBL,ASHL,AWCL
SMDDL,AVEL,AIBL,SIBDL,RMDL,RMDDL
AVER,AVER,RMDR,SMDDR,AIBR,SIBDR
RMDDL,RMDL,SIBDL,AIBL,RMDDL,AVEL
AWBR,AFDR,AVAR,RMDR,ASHR,ADFR
SAADL,SAADL,SAADR,SIBDL,SMDDL,RMDDL
ADLL,RIVL,ASKL,ADLL,ASIL,ASGL
ASIR,AWBR,ADLR,ADFR,ASKR,SMDVR
AWAR,AWAR,AWBR,AFDR,ADFR,ASGR
AIBL,ASHL,AFDL,AIBL,AWCL,AVEL
ASGR,ADFR,AWBR,AFDR,ASHR,AWAR
SIBDR,RMDR,SIBDR,AWCR,AIBR,ASHR
AVBL,RIR,AIBL,SAADL,RMDDL,SMDDR
ASGL,AWBL,ASGL,AVHL,AVJL,ASEL
SAADR,SAADR,SAADL,SIBVR,SMDDR,RMDDR
SIBVR,SAADL,SIBVR,SAADR,RMFR,RMHR
AWCL,AWCL,ASHL,AIBL,RIBL,ASEL
AVDL,AWAL,ASGL,ASHL,RIBL,AWBL
AIYL,RMDDL,SAADL,SIBDL,AIBL,SMBDL
ASHL,AIBL,RIBL,ASHL,RMDDL,SIBDL
ASHR,ASHR,AIBR,SIBDR,AWCR,RIBR
AWCR,AWCR,SIBDR,RMDR,AIBR,ASHR
ASIL,RIVL,ASIL,ADLL,AVHL,ASGL
ASEL,ASEL,ASHL,AVBL,AVJL,AWBL
SIBVL,SAADL,SIBVL,RMFL,RMDDL,SMBDL
AVHL,AVHL,AVJL,ASEL,AWBL,ASGL
AIBR,AIBR,SIBDR,AWCR,AUAR,ASHR
AUAL,AUAL,RIBL,ASHL,ASJL,AIBL
SMDDR,RMFR,RMDDR,SMBDR,RMHR,RIMR
AVHR,ASER,ASHR,AVBR,AWCR,AWBR
RMHR,RMHR,RMFL,RMFR,RMHL,SMBDL
AVJL,AVJL,AVDL,AVBL,ASEL,AINL
AVBR,RIBR,M2R,ASER,AVBR,AIBR
RMDDR,RMDDR,SMBDR,SMBDL,RMFR,RIMR
RIVR,AWBR,ASER,AVHR,AVJR,AINR
ASER,AVBR,ASER,ASHR,RIBR,AVDR
SMBDL,SMBVL,SMBDL,AUAL,RMFL,ASJL
RMHL,RMHL,RMFL,SMBVL,SMBDL,SIBVL
RIVL,AVJL,AINL,RIVL,AVHL,ASIL
RIBR,AUAR,ASJR,RIBR,AIZR,RIMR
RIR,SMBDR,RIMR,SMBDL,RMFR,RMHR
M2R,AINR,AVJR,AVHR,ASIR,RIVR
AVJR,AVDR,AVBR,ASER,ASHR,AINR
M2L,AINL,AVBL,RIVL,AVJL,I6
AIZL,AINL,AIZL,AVDL,AVJL,AVBL
RIML,SMBVL,ASJL,SMBDL,AUAL,RICL
AUAR,ASJR,AUAR,AIZR,RIMR,RICR
SIAVL,ASJL,SMBDL,SMBVL,RICL,SIAVL
I4,I4,M1,RIVR,ASIR,I6
RMFR,SMBVL,SMBDL,RMFL,SMBVR,AIAL
AVL,SMBVR,RIMR,ASJR,SMBDR,AIAR
AVDR,AVDR,AIZR,AINR,RICR,FLPR
RIMR,SMBVR,RIMR,AIMR,AIAR,SIAVR
I5,M2L,AIZL,RICL,ASJL,RIBL
RMFL,SIAVL,SMBVL,SMBVR,SIAVR,AIAL
I6,I6,RIVL,I4,M5,M1
ASJR,ASJR,RICR,AIMR,AIZR,RIMR
M1,M1,RIVR,AVHR,AINR,AVJR
SIADR,I5,AIMR,SIAVR,SMBVR,RICR
SMBDR,SMBVR,AIMR,SIAVR,I5,AVKR
AINL,FLPL,AINL,AIZL,AVDL,ADEL
AINR,FLPR,AIZR,AINR,RICR,AVDR
RICR,RICR,I5,M2R,AIZR,AIMR
SMBVL,AIML,VB2,RICL,AIYL,I5
SABVL,I5,SABVL,AIYL,SABVR,AIML
SMBVR,AIMR,AVKR,SIAVR,VB2,I5
AIZR,ADER,AQR,ADAR,FLPR,RICR
RICL,ADEL,ADAL,FLPL,RMGL,VB2
M5,M5,I6,RMGL,ADAL,I4
AIAR,SABVR,RIS,VB2,AVFR,SABVL
FLPR,RMGR,ADAR,AQR,ADER,FLPR
RIBL,RIFL,RIS,SABVL,VB2,AVFL
